Date,2020-11-25 14:15:27
Filename,STFMK-20201105-LW15-2055_20201125_141527_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-DSF-01, 1730,2.2, 8.6,
Period,3SEC
Sample Rate,4000
RMS,0.005730,
Data Length,12000,
0,0.0028060186,
0.00025,-0.0051179724,
0.0005,-0.0029113153,
0.00075,0.0028011049,
0.001,-0.0047647683,
0.00125,-0.0035879237,
0.0015,0.0084745409,
0.00175,0.0075040208,
0.002,-0.0059423428,
0.00225,0.0031240855,
0.0025,0.0073990412,
0.00275,-0.0038915635,
0.003,-0.0034112707,
0.00325,0.0058765011,
0.0035,0.0061205891,
0.00375,-0.0056545087,
0.004,0.0001337523,
0.00425,0.0092127658,
0.0045,0.0011497202,
0.00475,-0.0058514723,
0.005,0.0040375348,
0.00525,0.0131591391,
0.0055,-0.0003173361,
0.00575,0.0024628318,
0.006,0.0068296026,
0.00625,0.0000822429,
0.0065,-0.0086239092,
0.00675,-0.0031599961,
0.007,0.0026271725,
0.00725,-0.0055958102,
0.0075,0.0051767961,
0.00775,0.0075601349,
0.008,0.0004816308,
0.00825,-0.0012674079,
0.0085,0.0036263713,
0.00875,-0.0008440823,
0.009,-0.0065269200,
0.00925,0.0032958968,
0.0095,-0.0001245289,
0.00975,0.0011246024,
0.01,0.0058412594,
0.01025,0.0062560611,
0.0105,0.0016488333,
0.01075,-0.0072617084,
0.011,-0.0048051649,
0.01125,0.0058549079,
0.0115,-0.0104456535,
0.01175,-0.0086684078,
0.012,0.0116342418,
0.01225,0.0088400552,
0.0125,-0.0099600563,
0.01275,-0.0011527837,
0.013,0.0110397805,
0.01325,-0.0020379871,
0.0135,-0.0045074085,
0.01375,0.0086908927,
0.014,0.0122676101,
0.01425,-0.0084148431,
0.0145,-0.0077360957,
0.01475,0.0060047158,
0.015,-0.0016222959,
0.01525,-0.0121726468,
0.0155,-0.0037668278,
0.01575,0.0120630115,
0.016,-0.0007791841,
0.01625,-0.0058982810,
0.0165,0.0014752641,
0.01675,-0.0015989852,
0.017,-0.0185355246,
0.01725,-0.0205849037,
0.0175,-0.0000453310,
0.01775,-0.0004387577,
0.018,-0.0163299572,
0.01825,-0.0037851066,
0.0185,0.0031131129,
0.01875,-0.0107243275,
0.019,-0.0173346624,
0.01925,-0.0047749961,
0.0195,-0.0063218791,
0.01975,-0.0139156803,
0.02,-0.0063847117,
0.02025,-0.0038603994,
0.0205,-0.0003045522,
0.02075,-0.0053392230,
0.021,-0.0042790240,
0.02125,0.0042558913,
0.0215,0.0020953482,
0.02175,-0.0012123089,
0.022,0.0077774539,
0.02225,0.0078707570,
0.0225,0.0030905767,
0.02275,0.0037265522,
0.023,0.0008414905,
0.02325,-0.0011487727,
0.0235,0.0042274925,
0.02375,0.0047564688,
0.024,-0.0004305394,
0.02425,0.0079864403,
0.0245,0.0083288336,
0.02475,0.0007671013,
0.025,-0.0060897116,
0.02525,0.0059977383,
0.0255,-0.0022103449,
0.02575,-0.0090366965,
0.026,0.0022357509,
0.02625,0.0055158176,
0.0265,-0.0020461937,
0.02675,-0.0022439510,
0.027,0.0026307104,
0.02725,0.0018005957,
0.0275,-0.0158142969,
0.02775,-0.0031321004,
0.028,-0.0017855174,
0.02825,-0.0040323152,
0.0285,-0.0060754367,
0.02875,-0.0010713798,
0.029,-0.0091236224,
0.02925,-0.0166856349,
0.0295,-0.0086998753,
0.02975,-0.0060503953,
0.03,-0.0029473011,
0.03025,0.0000097772,
0.0305,0.0052955011,
0.03075,0.0007665251,
0.031,-0.0052093696,
0.03125,-0.0060477648,
0.0315,-0.0041663563,
0.03175,-0.0088460483,
0.032,-0.0007428881,
0.03225,-0.0052777203,
0.0325,-0.0062351823,
0.03275,-0.0030179441,
0.033,0.0004127215,
0.03325,-0.0016812126,
0.0335,-0.0019011158,
0.03375,-0.0032686386,
0.034,-0.0013601232,
0.03425,0.0063616573,
0.0345,0.0009780321,
0.03475,0.0030935328,
0.035,0.0107326461,
0.03525,0.0110068461,
0.0355,-0.0045380839,
0.03575,0.0033071130,
0.036,0.0118281739,
0.03625,0.0025886246,
0.0365,-0.0003399859,
0.03675,0.0070842486,
0.037,0.0063437270,
0.03725,0.0006592385,
0.0375,-0.0043182638,
0.03775,0.0063917157,
0.038,0.0106599461,
0.03825,0.0003769563,
0.0385,0.0041426909,
0.03875,0.0197562017,
0.039,0.0079957843,
0.03925,0.0025747574,
0.0395,0.0075124716,
0.03975,0.0039644237,
0.04,-0.0029512660,
0.04025,-0.0051444629,
0.0405,0.0051232660,
0.04075,0.0079473061,
0.041,0.0053829374,
0.04125,0.0027469799,
0.0415,0.0048576701,
0.04175,-0.0009760475,
0.042,-0.0034803955,
0.04225,0.0009481703,
0.0425,-0.0037037951,
0.04275,0.0007470074,
0.043,0.0058500790,
0.04325,0.0005769575,
0.0435,0.0013706170,
0.04375,0.0059645898,
0.044,-0.0010764131,
0.04425,-0.0063067120,
0.0445,0.0005886132,
0.04475,0.0074675903,
0.045,0.0019139422,
0.04525,0.0000576696,
0.0455,-0.0052821520,
0.04575,0.0109173469,
0.046,-0.0037825545,
0.04625,-0.0078604640,
0.0465,0.0100606503,
0.04675,0.0057655461,
0.047,-0.0055502187,
0.04725,0.0056387093,
0.0475,0.0184376277,
0.04775,-0.0039408179,
0.048,-0.0155558418,
0.04825,0.0041539855,
0.0485,0.0015512020,
0.04875,-0.0096443724,
0.049,0.0032756629,
0.04925,0.0136200814,
0.0495,0.0050291889,
0.04975,-0.0034622184,
0.05,-0.0025915171,
0.05025,-0.0028934232,
0.0505,-0.0026456674,
0.05075,-0.0162259936,
0.051,-0.0000037114,
0.05125,0.0088000288,
0.0515,0.0001546102,
0.05175,-0.0007557799,
0.052,0.0122980131,
0.05225,0.0007477055,
0.0525,-0.0074280235,
0.05275,-0.0013221717,
0.053,0.0042641689,
0.05325,-0.0037283532,
0.0535,-0.0062335492,
0.05375,-0.0038777962,
0.054,0.0022320065,
0.05425,-0.0027154491,
0.0545,-0.0088002989,
0.05475,0.0007868588,
0.055,0.0042510526,
0.05525,-0.0046773981,
0.0555,0.0024855365,
0.05575,0.0038567362,
0.056,-0.0001302501,
0.05625,-0.0035035601,
0.0565,-0.0031406714,
0.05675,-0.0062934244,
0.057,-0.0017111342,
0.05725,-0.0001968676,
0.0575,-0.0043933024,
0.05775,0.0055179121,
0.058,0.0091813514,
0.05825,-0.0013255582,
0.0585,-0.0020188072,
0.05875,0.0027118067,
0.059,0.0056222901,
0.05925,-0.0058939820,
0.0595,0.0016701957,
0.05975,0.0116703976,
0.06,0.0070739696,
0.06025,-0.0021291478,
0.0605,0.0058827824,
0.06075,0.0123216622,
0.061,-0.0025155726,
0.06125,0.0015254453,
0.0615,0.0103199864,
0.06175,0.0004102414,
0.062,-0.0017011621,
0.06225,-0.0008802393,
0.0625,0.0006969910,
0.06275,-0.0027804242,
0.063,0.0026176660,
0.06325,0.0011528509,
0.0635,-0.0009668093,
0.06375,0.0022112906,
0.064,0.0028553288,
0.06425,0.0042573242,
0.0645,-0.0021805512,
0.06475,-0.0075878398,
0.065,0.0028144564,
0.06525,-0.0057277540,
0.0655,-0.0028134091,
0.06575,0.0110112326,
0.066,0.0056705792,
0.06625,-0.0023272589,
0.0665,0.0048434003,
0.06675,0.0019911083,
0.067,-0.0032606607,
0.06725,-0.0044437074,
0.0675,-0.0036662819,
0.06775,0.0029400350,
0.068,0.0052564358,
0.06825,-0.0053382888,
0.0685,0.0029622579,
0.06875,0.0107749458,
0.069,-0.0002667616,
0.06925,-0.0052242838,
0.0695,0.0076615862,
0.06975,0.0018032712,
0.07,-0.0070605250,
0.07025,-0.0011959691,
0.0705,0.0070156860,
0.07075,-0.0011423512,
0.071,-0.0056667253,
0.07125,0.0015891520,
0.0715,0.0101267816,
0.07175,0.0025303140,
0.072,0.0020731906,
0.07225,0.0188244451,
0.0725,0.0107253995,
0.07275,0.0015931820,
0.073,0.0057566576,
0.07325,0.0069400333,
0.0735,0.0015926049,
0.07375,0.0013985024,
0.074,0.0126129687,
0.07425,0.0079021575,
0.0745,-0.0005015828,
0.07475,0.0027551237,
0.075,0.0031644010,
0.07525,-0.0057161963,
0.0755,-0.0088012973,
0.07575,0.0037320494,
0.076,-0.0048901858,
0.07625,-0.0049210368,
0.0765,0.0112506133,
0.07675,-0.0005359430,
0.077,-0.0078124357,
0.07725,0.0044382256,
0.0775,0.0027145201,
0.07775,-0.0108019272,
0.078,-0.0033780471,
0.07825,0.0102194268,
0.0785,0.0046274243,
0.07875,-0.0014515832,
0.079,-0.0019624964,
0.07925,0.0108414572,
0.0795,-0.0027386392,
0.07975,-0.0188001264,
0.08,0.0075876247,
0.08025,0.0115332715,
0.0805,-0.0072878646,
0.08075,-0.0108204791,
0.081,0.0138060916,
0.08125,-0.0028070319,
0.0815,-0.0122742644,
0.08175,-0.0020522389,
0.082,-0.0006612069,
0.08225,-0.0030974746,
0.0825,-0.0041909767,
0.08275,0.0058999402,
0.083,0.0139028477,
0.08325,-0.0039037475,
0.0835,-0.0099027641,
0.08375,0.0027584746,
0.084,-0.0020651424,
0.08425,-0.0270083211,
0.0845,-0.0149509506,
0.08475,-0.0091682496,
0.085,-0.0110058375,
0.08525,-0.0096031707,
0.0855,0.0022869739,
0.08575,0.0058162450,
0.086,-0.0121849533,
0.08625,-0.0093624294,
0.0865,0.0026573413,
0.08675,-0.0028859908,
0.087,-0.0116447499,
0.08725,-0.0057850489,
0.0875,-0.0002953084,
0.08775,-0.0054399520,
0.088,-0.0082155932,
0.08825,-0.0041874759,
0.0885,0.0041849976,
0.08875,0.0025396843,
0.089,0.0029829638,
0.08925,0.0040394999,
0.0895,0.0043485090,
0.08975,-0.0011411121,
0.09,-0.0013200381,
0.09025,-0.0012653960,
0.0905,0.0016378625,
0.09075,0.0065219891,
0.091,0.0020484827,
0.09125,0.0006235248,
0.0915,0.0079358723,
0.09175,-0.0022771321,
0.092,-0.0082567036,
0.09225,0.0002826088,
0.0925,-0.0018734817,
0.09275,-0.0025043206,
0.093,-0.0038921479,
0.09325,0.0072102612,
0.0935,0.0052600615,
0.09375,-0.0045523103,
0.094,-0.0038633100,
0.09425,0.0054932674,
0.0945,-0.0021760438,
0.09475,-0.0064937146,
0.095,0.0010784741,
0.09525,0.0058161290,
0.0955,-0.0024305687,
0.09575,-0.0053705787,
0.096,0.0014133343,
0.09625,0.0015755155,
0.0965,-0.0050937301,
0.09675,-0.0021420526,
