Date,2020-12-01 14:32:55
Filename,STFMK-20201105-LW15-2055_20201201_143255_004.dat
Data Label,축정렬불량
Label_No,03
Motor Spec,L-DSF-01, 1730,2.2, 8.6,
Period,3SEC
Sample Rate,4000
RMS,0.006143,
Data Length,12000,
0,-0.0035376605,
0.00025,0.0007300607,
0.0005,0.0080486052,
0.00075,-0.0020504682,
0.001,-0.0110580577,
0.00125,-0.0062774634,
0.0015,-0.0037472856,
0.00175,-0.0049355808,
0.002,-0.0065017841,
0.00225,0.0007834766,
0.0025,0.0020137536,
0.00275,-0.0033036454,
0.003,-0.0102950400,
0.00325,-0.0053037321,
0.0035,0.0014505470,
0.00375,-0.0133395791,
0.004,-0.0078610592,
0.00425,0.0051466106,
0.0045,0.0029148664,
0.00475,-0.0040550609,
0.005,0.0072329082,
0.00525,0.0070712524,
0.0055,0.0029259480,
0.00575,0.0011322763,
0.006,0.0020712297,
0.00625,0.0032854821,
0.0065,0.0039022395,
0.00675,-0.0075324588,
0.007,-0.0020983464,
0.00725,0.0034783008,
0.0075,-0.0040095290,
0.00775,-0.0020473632,
0.008,0.0080032377,
0.00825,0.0034176256,
0.0085,0.0013358372,
0.00875,0.0024874946,
0.009,-0.0004688784,
0.00925,-0.0059369849,
0.0095,-0.0066070510,
0.00975,-0.0074281567,
0.01,-0.0010802117,
0.01025,0.0038674348,
0.0105,-0.0041965386,
0.01075,0.0051134611,
0.011,0.0052481839,
0.01125,-0.0010225333,
0.0115,-0.0047922810,
0.01175,-0.0038983165,
0.012,-0.0059081963,
0.01225,-0.0070339344,
0.0125,-0.0024507772,
0.01275,0.0017162174,
0.013,0.0036280092,
0.01325,0.0035252580,
0.0135,0.0041214777,
0.01375,-0.0006134043,
0.014,-0.0037987265,
0.01425,0.0075950846,
0.0145,0.0033734613,
0.01475,0.0001867456,
0.015,0.0061596818,
0.01525,0.0048697013,
0.0155,-0.0006151177,
0.01575,-0.0037441491,
0.016,0.0059162052,
0.01625,0.0017425707,
0.0165,0.0012302258,
0.01675,0.0059019839,
0.017,0.0066677453,
0.01725,0.0045316620,
0.0175,-0.0066988263,
0.01775,-0.0064496966,
0.018,-0.0026399251,
0.01825,-0.0130049270,
0.0185,-0.0062346505,
0.01875,0.0031128267,
0.019,-0.0018695170,
0.01925,-0.0045201024,
0.0195,0.0015919523,
0.01975,-0.0056907679,
0.02,-0.0065623997,
0.02025,-0.0020728612,
0.0205,-0.0038344627,
0.02075,0.0024603962,
0.021,0.0071346546,
0.02125,0.0023129422,
0.0215,0.0066279676,
0.02175,0.0085119298,
0.022,0.0037453063,
0.02225,0.0003050156,
0.0225,0.0086321393,
0.02275,0.0095007597,
0.023,0.0059847664,
0.02325,0.0103298575,
0.0235,0.0085262889,
0.02375,0.0013001910,
0.024,-0.0015501365,
0.02425,0.0020840613,
0.0245,0.0045266002,
0.02475,0.0021112761,
0.025,0.0065849000,
0.02525,0.0152235776,
0.0255,0.0032513218,
0.02575,0.0019845259,
0.026,0.0022657376,
0.02625,-0.0007581580,
0.0265,-0.0080317808,
0.02675,-0.0030941814,
0.027,0.0102517670,
0.02725,0.0009202871,
0.0275,-0.0025586812,
0.02775,0.0099581396,
0.028,0.0075758393,
0.02825,-0.0104322424,
0.0285,-0.0024514766,
0.02875,0.0101978378,
0.029,-0.0021702410,
0.02925,-0.0047949236,
0.0295,0.0138364211,
0.02975,0.0108215967,
0.03,0.0003004032,
0.03025,0.0059467922,
0.0305,0.0145737920,
0.03075,0.0039131972,
0.031,0.0021865666,
0.03125,0.0096284654,
0.0315,0.0152202966,
0.03175,0.0031258971,
0.032,-0.0031627160,
0.03225,0.0046568834,
0.0325,0.0023247688,
0.03275,-0.0076859724,
0.033,-0.0023908252,
0.03325,0.0106603922,
0.0335,0.0042159045,
0.03375,-0.0055913017,
0.034,0.0002037827,
0.03425,-0.0006298780,
0.0345,-0.0077462937,
0.03475,-0.0100069633,
0.035,-0.0042774351,
0.03525,-0.0003667949,
0.0355,0.0001701403,
0.03575,-0.0014008337,
0.036,-0.0062817661,
0.03625,0.0022579066,
0.0365,-0.0121934786,
0.03675,-0.0154156666,
0.037,0.0003889408,
0.03725,-0.0031792864,
0.0375,-0.0052552070,
0.03775,0.0006737303,
0.038,0.0042163888,
0.03825,-0.0037037213,
0.0385,-0.0088627152,
0.03875,0.0007377000,
0.039,-0.0028849186,
0.03925,-0.0012217427,
0.0395,-0.0041768863,
0.03975,-0.0011938753,
0.04,0.0034840496,
0.04025,-0.0082430141,
0.0405,-0.0102553330,
0.04075,-0.0001466790,
0.041,-0.0011997668,
0.04125,-0.0033719242,
0.0415,0.0073089050,
0.04175,0.0091022002,
0.042,0.0026008785,
0.04225,-0.0001337663,
0.0425,0.0003629100,
0.04275,-0.0059534712,
0.043,-0.0032403066,
0.04325,-0.0028805416,
0.0435,-0.0003995355,
0.04375,0.0066471850,
0.044,0.0076352870,
0.04425,0.0009808182,
0.0445,-0.0018921255,
0.04475,-0.0001460128,
0.045,-0.0069992519,
0.04525,-0.0047767432,
0.0455,0.0017545852,
0.04575,0.0027122649,
0.046,0.0036960982,
0.04625,0.0032266814,
0.0465,0.0022658631,
0.04675,0.0039373976,
0.047,0.0050419378,
0.04725,0.0047593880,
0.0475,0.0018543107,
0.04775,0.0002134883,
0.048,0.0038902028,
0.04825,-0.0006347339,
0.0485,-0.0012246261,
0.04875,-0.0027777662,
0.049,-0.0022088389,
0.04925,-0.0090985913,
0.0495,-0.0021715874,
0.04975,0.0055652629,
0.05,0.0007799737,
0.05025,-0.0013817708,
0.0505,-0.0024498093,
0.05075,-0.0016677440,
0.051,-0.0132579189,
0.05125,-0.0132488916,
0.0515,0.0025370580,
0.05175,-0.0013734923,
0.052,-0.0070430618,
0.05225,0.0043309825,
0.0525,0.0099152746,
0.05275,-0.0087998733,
0.053,-0.0115968976,
0.05325,-0.0034655752,
0.0535,-0.0137613621,
0.05375,-0.0097520174,
0.054,-0.0061887177,
0.05425,-0.0012801873,
0.0545,-0.0019648657,
0.05475,-0.0035580592,
0.055,-0.0046825549,
0.05525,-0.0031072674,
0.0555,-0.0041157547,
0.05575,-0.0029409430,
0.056,0.0070357313,
