Date,2020-11-25 14:28:12
Filename,STFMK-20201105-LW17-8125_20201125_142812_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-EF-04, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.005562,
Data Length,12000,
0,-0.0047410456,
0.00025,-0.0033702350,
0.0005,0.0050905370,
0.00075,0.0029338826,
0.001,-0.0031267079,
0.00125,-0.0056528724,
0.0015,0.0017027551,
0.00175,0.0138104446,
0.002,-0.0023621919,
0.00225,-0.0126206400,
0.0025,0.0053210612,
0.00275,0.0078316983,
0.003,-0.0050342474,
0.00325,-0.0091481218,
0.0035,0.0058802501,
0.00375,0.0115422998,
0.004,-0.0002150776,
0.00425,-0.0102021219,
0.0045,0.0013015232,
0.00475,0.0121608200,
0.005,-0.0025642642,
0.00525,-0.0000349668,
0.0055,0.0041024396,
0.00575,0.0047582863,
0.006,0.0032866991,
0.00625,-0.0032792739,
0.0065,-0.0040279622,
0.00675,0.0006268668,
0.007,0.0005467254,
0.00725,0.0010066710,
0.0075,-0.0000021290,
0.00775,-0.0043190126,
0.008,0.0032493039,
0.00825,0.0079465918,
0.0085,-0.0073743034,
0.00875,-0.0016143634,
0.009,0.0102383234,
0.00925,0.0023855167,
0.0095,-0.0043276250,
0.00975,-0.0075689279,
0.01,0.0046085864,
0.01025,0.0061604185,
0.0105,-0.0103942268,
0.01075,-0.0050936448,
0.011,0.0113645894,
0.01125,0.0053574094,
0.0115,-0.0121912807,
0.01175,-0.0061917449,
0.012,0.0059811063,
0.01225,0.0016773208,
0.0125,-0.0043013282,
0.01275,-0.0053767990,
0.013,0.0039070901,
0.01325,0.0053787623,
0.0135,-0.0024761399,
0.01375,-0.0049459040,
0.014,0.0038309358,
0.01425,0.0080306046,
0.0145,0.0001013893,
0.01475,-0.0007957368,
0.015,-0.0039929040,
0.01525,-0.0019318024,
0.0155,0.0058289426,
0.01575,-0.0095407376,
0.016,-0.0026584389,
0.01625,0.0050283968,
0.0165,0.0002599416,
0.01675,0.0028725811,
0.017,-0.0037658119,
0.01725,0.0018634652,
0.0175,0.0037843608,
0.01775,-0.0004406508,
0.018,-0.0061877305,
0.01825,0.0011527766,
0.0185,0.0087198419,
0.01875,0.0015344295,
0.019,-0.0077943513,
0.01925,-0.0040553622,
0.0195,0.0128141418,
0.01975,0.0040588928,
0.02,-0.0066827890,
0.02025,0.0053338432,
0.0205,0.0028326181,
0.02075,0.0032938530,
0.021,-0.0064320792,
0.02125,-0.0036836101,
0.0215,0.0105103189,
0.02175,-0.0001884911,
0.022,-0.0054384209,
0.02225,0.0008526923,
0.0225,0.0010927418,
0.02275,-0.0010307379,
0.023,0.0003226426,
0.02325,-0.0050796755,
0.0235,-0.0023045181,
0.02375,0.0002935993,
0.024,-0.0044731684,
0.02425,-0.0037592778,
0.0245,-0.0044116108,
0.02475,0.0019873101,
0.025,0.0026768753,
0.02525,-0.0006982693,
0.0255,-0.0009333122,
0.02575,0.0044289413,
0.026,0.0045950133,
0.02625,-0.0034518295,
0.0265,-0.0010498603,
0.02675,0.0025632051,
0.027,0.0031914222,
0.02725,-0.0006531085,
0.0275,-0.0091616055,
0.02775,0.0015634652,
0.028,0.0059928447,
0.02825,-0.0010590778,
0.0285,0.0007546935,
0.02875,0.0031651417,
0.029,0.0073293885,
0.02925,0.0022035609,
0.0295,-0.0053584492,
0.02975,0.0030890987,
0.03,0.0074501564,
0.03025,0.0045197168,
0.0305,0.0013153586,
0.03075,0.0027893530,
0.031,0.0098279389,
0.03125,0.0013283701,
0.0315,-0.0021746843,
0.03175,0.0006362184,
0.032,0.0005082263,
0.03225,0.0038003186,
0.0325,0.0012161462,
0.03275,-0.0045269160,
0.033,0.0040302086,
0.03325,0.0056835748,
0.0335,0.0006401219,
0.03375,0.0023583907,
0.034,0.0025310912,
0.03425,0.0039082109,
0.0345,0.0077683600,
0.03475,-0.0054958067,
0.035,-0.0060390430,
0.03525,0.0099011604,
0.0355,0.0023802768,
0.03575,-0.0069745961,
0.036,-0.0031732032,
0.03625,0.0083403466,
0.0365,0.0054595619,
0.03675,-0.0048807645,
0.037,-0.0022840984,
0.03725,0.0063413978,
0.0375,0.0065403217,
0.03775,-0.0101504941,
0.038,0.0003156699,
0.03825,0.0085764229,
0.0385,-0.0004638864,
0.03875,-0.0008438856,
0.039,0.0003425923,
0.03925,0.0089422669,
0.0395,0.0006420714,
0.03975,0.0005626252,
0.04,0.0027226645,
0.04025,-0.0024518659,
0.0405,0.0003062030,
0.04075,0.0029219366,
0.041,0.0036430084,
0.04125,0.0012408528,
0.0415,0.0039186878,
0.04175,0.0093064643,
0.042,0.0006749834,
0.04225,-0.0028448300,
0.0425,0.0041897777,
0.04275,0.0089263925,
0.043,-0.0003622529,
0.04325,-0.0059931469,
0.0435,0.0037350538,
0.04375,0.0037907455,
0.044,-0.0023670241,
0.04425,-0.0056922571,
0.0445,0.0029655145,
0.04475,0.0099543091,
0.045,-0.0029747665,
0.04525,-0.0044878577,
0.0455,0.0061056493,
0.04575,-0.0000953035,
0.046,-0.0001209819,
0.04625,-0.0018794441,
0.0465,-0.0030958932,
0.04675,0.0079892054,
0.047,-0.0009554952,
0.04725,-0.0055742613,
0.0475,0.0033522281,
0.04775,0.0032563591,
0.048,0.0022683560,
0.04825,0.0011419188,
0.0485,-0.0024425576,
0.04875,-0.0007555817,
0.049,0.0043444550,
0.04925,-0.0046630059,
0.0495,-0.0063164462,
0.04975,0.0056528440,
0.05,-0.0018079660,
0.05025,0.0042014024,
0.0505,0.0017316808,
0.05075,0.0004953146,
0.051,0.0106700463,
0.05125,0.0017610715,
0.0515,-0.0039733998,
0.05175,0.0020166715,
0.052,0.0090080108,
0.05225,0.0025310998,
0.0525,-0.0060307225,
0.05275,-0.0056826184,
0.053,0.0048394487,
0.05325,0.0023451787,
0.0535,-0.0049689785,
0.05375,0.0034849739,
0.054,0.0043827994,
0.05425,0.0011554925,
0.0545,-0.0078394637,
0.05475,-0.0081417896,
0.055,0.0019536866,
0.05525,-0.0041711973,
0.0555,-0.0081298957,
0.05575,-0.0065442151,
0.056,-0.0034559600,
0.05625,-0.0045734658,
0.0565,-0.0044222660,
0.05675,-0.0056741713,
0.057,-0.0023528344,
0.05725,-0.0030563367,
0.0575,-0.0067099328,
0.05775,-0.0061622886,
0.058,-0.0121943383,
0.05825,-0.0044698571,
0.0585,-0.0074218498,
0.05875,-0.0109604737,
0.059,-0.0035000362,
0.05925,-0.0055720881,
0.0595,0.0003638233,
0.05975,-0.0047412091,
0.06,-0.0097399661,
0.06025,0.0011525692,
0.0605,0.0009843839,
0.06075,-0.0082935374,
0.061,-0.0079130083,
0.06125,-0.0016340212,
0.0615,-0.0001738160,
0.06175,-0.0004955443,
0.062,-0.0085702166,
0.06225,-0.0016089414,
0.0625,0.0025922803,
0.06275,-0.0104967058,
0.063,-0.0068778037,
0.06325,-0.0025410671,
0.0635,-0.0053133806,
0.06375,-0.0001985620,
0.064,-0.0064326911,
0.06425,-0.0067946268,
0.0645,0.0043100966,
0.06475,-0.0077827442,
0.065,-0.0070289224,
0.06525,-0.0027764901,
0.0655,-0.0118945958,
0.06575,-0.0020515753,
0.066,-0.0050557666,
0.06625,-0.0120674623,
0.0665,-0.0012009157,
0.06675,-0.0025764629,
0.067,-0.0063996669,
0.06725,-0.0049088574,
0.0675,-0.0063022384,
0.06775,-0.0035988535,
0.068,0.0020107368,
0.06825,-0.0116799856,
0.0685,-0.0088064726,
0.06875,0.0060365219,
0.069,0.0004615510,
0.06925,-0.0130517399,
0.0695,-0.0102277212,
0.06975,0.0023341980,
0.07,-0.0032186497,
0.07025,-0.0116717182,
0.0705,-0.0078272410,
0.07075,0.0014465202,
0.071,-0.0045527983,
0.07125,-0.0123432148,
0.0715,-0.0061088284,
0.07175,0.0050546946,
0.072,-0.0054219300,
0.07225,-0.0081747575,
0.0725,-0.0021844236,
0.07275,-0.0031908581,
0.073,-0.0039306069,
0.07325,-0.0057673622,
0.0735,-0.0052532004,
0.07375,-0.0068515362,
0.074,-0.0059181075,
0.07425,-0.0013051329,
0.0745,-0.0030162812,
0.07475,-0.0073627285,
0.075,-0.0060049770,
0.07525,0.0006735071,
0.0755,-0.0048960336,
0.07575,-0.0085277567,
0.076,0.0053946581,
0.07625,0.0039039683,
0.0765,-0.0024537914,
0.07675,-0.0036524024,
0.077,-0.0009475991,
0.07725,0.0113904495,
0.0775,-0.0016109890,
0.07775,-0.0093428232,
0.078,0.0028598416,
0.07825,0.0064527038,
0.0785,-0.0023951377,
0.07875,-0.0066620344,
0.079,0.0008444228,
0.07925,-0.0028318025,
0.0795,-0.0002235530,
0.07975,-0.0042397277,
0.08,-0.0021760459,
0.08025,0.0105377454,
0.0805,-0.0014316769,
0.08075,-0.0017854506,
0.081,0.0017664749,
0.08125,-0.0007733492,
0.0815,0.0009854393,
0.08175,-0.0002926947,
0.082,-0.0040356787,
0.08225,0.0026087838,
0.0825,0.0027845548,
0.08275,-0.0037439053,
0.083,-0.0030726548,
0.08325,-0.0041245446,
0.0835,0.0017684321,
0.08375,0.0061182259,
0.084,-0.0031629838,
0.08425,0.0045882612,
0.0845,0.0038137250,
0.08475,-0.0024192552,
0.085,-0.0014370006,
0.08525,-0.0045182039,
0.0855,0.0070643146,
0.08575,0.0081391986,
0.086,-0.0071667712,
0.08625,-0.0073974459,
0.0865,0.0001343924,
0.08675,0.0044950321,
0.087,-0.0055017089,
0.08725,-0.0014244132,
0.0875,0.0043153525,
0.08775,0.0054425998,
0.088,-0.0001035773,
0.08825,-0.0102580199,
0.0885,0.0061272555,
0.08875,0.0037670226,
0.089,-0.0007031477,
0.08925,-0.0022734543,
0.0895,-0.0018565060,
0.08975,0.0020134749,
0.09,-0.0055994350,
0.09025,-0.0004212296,
0.0905,-0.0007016316,
0.09075,0.0031821199,
0.091,0.0038768712,
0.09125,-0.0029005515,
0.0915,-0.0009117823,
0.09175,0.0048777931,
0.092,0.0062971087,
0.09225,0.0048722113,
0.0925,0.0060846647,
0.09275,0.0007753115,
0.093,0.0092164483,
0.09325,0.0061852681,
0.0935,-0.0040856968,
0.09375,0.0048918673,
0.094,0.0096405353,
0.09425,0.0039823954,
0.0945,-0.0012425658,
0.09475,-0.0023930802,
0.095,0.0086338054,
0.09525,0.0094222249,
0.0955,-0.0019930825,
0.09575,0.0013312609,
0.096,0.0095261196,
0.09625,0.0089887986,
0.0965,-0.0002562768,
0.09675,-0.0001271351,
0.097,0.0072905747,
0.09725,0.0074472949,
0.0975,0.0005208937,
0.09775,-0.0023293938,
0.098,0.0045821136,
0.09825,-0.0016123445,
0.0985,-0.0023223916,
0.09875,-0.0016481838,
0.099,-0.0029967355,
0.09925,0.0044377176,
0.0995,-0.0007429403,
0.09975,-0.0019523321,
0.1,-0.0037042452,
0.10025,-0.0032635396,
0.1005,0.0034515976,
0.10075,0.0021313159,
0.101,-0.0067001805,
0.10125,0.0001964892,
0.1015,0.0072204205,
0.10175,-0.0019645176,
0.102,-0.0104132276,
0.10225,-0.0025843275,
0.1025,0.0119400853,
0.10275,0.0060929870,
0.103,-0.0113832289,
0.10325,-0.0022836709,
0.1035,0.0149711147,
0.10375,-0.0027759215,
0.104,-0.0101528866,
0.10425,0.0012092724,
0.1045,0.0065216613,
0.10475,0.0077228858,
0.105,-0.0056556109,
0.10525,0.0033071316,
0.1055,0.0107388534,
0.10575,0.0016964070,
0.106,-0.0014531161,
0.10625,0.0034497560,
0.1065,0.0034289723,
0.10675,-0.0009459367,
