Date,2020-12-18 17:10:43
Filename,STFMK-20201105-LW19-3455_20201218_171043_004.dat
Data Label,회전체불평형
Label_No,02
Motor Spec,L-EF-04, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.012133,
Data Length,12000,
0,0.0075962348,
0.00025,-0.0094589870,
0.0005,-0.0182220861,
0.00075,-0.0216770507,
0.001,-0.0077701919,
0.00125,-0.0119834803,
0.0015,-0.0021444617,
0.00175,0.0076179677,
0.002,0.0100978054,
0.00225,-0.0109741390,
0.0025,-0.0093404735,
0.00275,-0.0125284102,
0.003,-0.0183072481,
0.00325,-0.0228011087,
0.0035,-0.0093393857,
0.00375,-0.0016595632,
0.004,-0.0099999513,
0.00425,-0.0108324289,
0.0045,0.0001357555,
0.00475,0.0015094776,
0.005,-0.0125049595,
0.00525,-0.0065617375,
0.0055,0.0048186765,
0.00575,0.0031081368,
0.006,-0.0093992511,
0.00625,-0.0033604968,
0.0065,0.0124239437,
0.00675,0.0028231698,
0.007,0.0028016516,
0.00725,0.0078103188,
0.0075,0.0154348724,
0.00775,-0.0001294457,
0.008,-0.0049231462,
0.00825,-0.0028872080,
0.0085,-0.0084119774,
0.00875,-0.0075835725,
0.009,-0.0001842954,
0.00925,0.0094588129,
0.0095,0.0074895993,
0.00975,0.0095705073,
0.01,0.0097173415,
0.01025,-0.0019337228,
0.0105,-0.0093322545,
0.01075,0.0003824212,
0.011,0.0032369862,
0.01125,0.0023211155,
0.0115,0.0091928225,
0.01175,0.0247576348,
0.012,0.0202219523,
0.01225,0.0021723888,
0.0125,0.0129733747,
0.01275,0.0176762342,
0.013,-0.0016706008,
0.01325,-0.0075524854,
0.0135,0.0135695385,
0.01375,0.0114684133,
0.014,0.0018879202,
0.01425,0.0065181209,
0.0145,0.0231401790,
0.01475,0.0163437407,
0.015,-0.0111395847,
0.01525,0.0013375441,
0.0155,0.0155567424,
0.01575,-0.0127095710,
0.016,-0.0221949648,
0.01625,0.0057123005,
0.0165,0.0116408449,
0.01675,-0.0133676305,
0.017,-0.0086734807,
0.01725,0.0172841400,
0.0175,0.0107167652,
0.01775,-0.0200042054,
0.018,-0.0076755406,
0.01825,0.0082263295,
0.0185,-0.0076052882,
0.01875,-0.0273979809,
0.019,-0.0001395953,
0.01925,0.0088398214,
0.0195,-0.0076475651,
0.01975,-0.0091558862,
0.02,0.0053309794,
0.02025,0.0006808612,
0.0205,-0.0141156735,
0.02075,-0.0152725149,
0.021,-0.0007839203,
0.02125,-0.0137681467,
0.0215,-0.0237365589,
0.02175,-0.0124197882,
0.022,-0.0039124563,
0.02225,-0.0126365814,
0.0225,-0.0074651884,
0.02275,-0.0018663140,
0.023,-0.0093597462,
0.02325,-0.0127509749,
0.0235,-0.0103292391,
0.02375,-0.0122376112,
0.024,-0.0128461989,
0.02425,-0.0079678847,
0.0245,0.0013740654,
0.02475,-0.0015353840,
0.025,-0.0028669147,
0.02525,0.0043314556,
0.0255,0.0032148873,
0.02575,-0.0056995731,
0.026,-0.0149143580,
0.02625,-0.0083820932,
0.0265,0.0002233480,
0.02675,-0.0108321654,
0.027,0.0005735855,
0.02725,0.0189485680,
0.0275,0.0243565720,
0.02775,0.0057761162,
0.028,0.0138052218,
0.02825,0.0158234891,
0.0285,0.0001681210,
0.02875,-0.0197040364,
0.029,-0.0075578466,
0.02925,0.0017064657,
0.0295,-0.0013802189,
0.02975,0.0051428629,
0.03,0.0291204080,
0.03025,0.0282310341,
0.0305,0.0252270866,
0.03075,0.0223906524,
0.031,0.0229622200,
0.03125,-0.0000884425,
0.0315,-0.0130303893,
0.03175,-0.0062042829,
0.032,-0.0077247759,
0.03225,-0.0141232256,
0.0325,0.0083056195,
0.03275,0.0280746631,
0.033,0.0251019914,
0.03325,0.0183449108,
0.0335,0.0156364143,
0.03375,0.0069255223,
0.034,-0.0105675263,
0.03425,-0.0247318782,
0.0345,-0.0068547092,
0.03475,0.0024774882,
0.035,0.0113169737,
0.03525,0.0238301326,
0.0355,0.0354514644,
0.03575,0.0265847612,
0.036,0.0183505658,
0.03625,-0.0018185030,
0.0365,0.0072388356,
0.03675,0.0091690114,
0.037,0.0111368969,
0.03725,0.0139452498,
0.0375,0.0282643083,
0.03775,0.0204325765,
0.038,0.0104939938,
0.03825,-0.0012810132,
0.0385,0.0086675370,
0.03875,0.0150928916,
0.039,-0.0114318859,
0.03925,0.0032839363,
0.0395,0.0168136302,
0.03975,0.0072380733,
0.04,-0.0116616823,
0.04025,0.0033066582,
0.0405,0.0091625806,
0.04075,0.0010094395,
0.041,-0.0115561197,
0.04125,0.0047793663,
0.0415,0.0125562791,
0.04175,-0.0099206390,
0.042,-0.0067343153,
0.04225,-0.0013647460,
0.0425,-0.0021452866,
0.04275,0.0006630532,
0.043,0.0066206134,
0.04325,0.0158267058,
0.0435,0.0156482011,
0.04375,0.0122992406,
0.044,0.0073934621,
0.04425,0.0060189450,
0.0445,-0.0117146336,
0.04475,-0.0019208145,
0.045,-0.0029851557,
0.04525,-0.0086602950,
0.0455,-0.0053911679,
0.04575,0.0108078010,
0.046,0.0089260256,
0.04625,-0.0017279724,
0.0465,-0.0060325498,
0.04675,0.0045864792,
0.047,-0.0087933615,
0.04725,-0.0145422090,
0.0475,0.0018323028,
0.04775,0.0017796683,
0.048,-0.0100372778,
0.04825,-0.0060866335,
0.0485,-0.0002971226,
0.04875,-0.0044680065,
0.049,-0.0172726642,
0.04925,-0.0080895750,
0.0495,0.0053577330,
0.04975,-0.0097554279,
0.05,-0.0192829799,
0.05025,0.0052438788,
0.0505,0.0015021223,
0.05075,-0.0208872259,
0.051,-0.0150110247,
0.05125,0.0016212272,
0.0515,-0.0096393852,
0.05175,-0.0236556660,
0.052,-0.0107013285,
0.05225,0.0108049382,
0.0525,-0.0068396442,
0.05275,-0.0154595738,
0.053,0.0103799123,
0.05325,0.0051796990,
0.0535,-0.0121950563,
0.05375,-0.0086594447,
0.054,0.0029273492,
0.05425,-0.0075709471,
0.0545,-0.0177637860,
0.05475,-0.0160825774,
0.055,0.0026827457,
0.05525,-0.0126742618,
0.0555,-0.0151055139,
0.05575,0.0031185194,
0.056,0.0024811237,
0.05625,-0.0150556993,
0.0565,-0.0074778679,
0.05675,-0.0091340709,
0.057,-0.0143851656,
0.05725,-0.0151002584,
0.0575,-0.0103005962,
0.05775,0.0059162127,
0.058,-0.0000724792,
0.05825,0.0092262486,
0.0585,0.0084770480,
0.05875,-0.0022117121,
0.059,-0.0093580643,
0.05925,-0.0085192621,
0.0595,-0.0115061887,
0.05975,-0.0046468624,
0.06,-0.0022318901,
0.06025,0.0127106486,
0.0605,0.0194470249,
0.06075,0.0144612091,
0.061,0.0118453205,
