Date,2020-12-23 09:16:09
Filename,STFMK-20201105-LW19-2373_20201223_091609_004.dat
Data Label,베어링불량
Label_No,01
Motor Spec,L-SF-04, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.007029,
Data Length,12000,
0,0.0002932014,
0.00025,-0.0011018706,
0.0005,0.0042987606,
0.00075,0.0078256465,
0.001,0.0060064294,
0.00125,0.0020433208,
0.0015,-0.0061069573,
0.00175,0.0021377159,
0.002,0.0027444097,
0.00225,0.0007636481,
0.0025,-0.0031663203,
0.00275,0.0002038660,
0.003,0.0012077776,
0.00325,-0.0046532233,
0.0035,-0.0106268544,
0.00375,-0.0063183187,
0.004,0.0015052783,
0.00425,-0.0053897691,
0.0045,-0.0147861652,
0.00475,-0.0044673132,
0.005,0.0010955655,
0.00525,0.0028831861,
0.0055,-0.0034316757,
0.00575,-0.0003441760,
0.006,0.0070917094,
0.00625,0.0046784235,
0.0065,-0.0017002323,
0.00675,-0.0014129137,
0.007,-0.0012679496,
0.00725,-0.0058792140,
0.0075,-0.0109085804,
0.00775,-0.0106090596,
0.008,-0.0091560772,
0.00825,-0.0059734308,
0.0085,-0.0134312734,
0.00875,-0.0190512519,
0.009,-0.0094292210,
0.00925,-0.0028094794,
0.0095,0.0000081472,
0.00975,-0.0063474653,
0.01,-0.0107199242,
0.01025,-0.0033737398,
0.0105,0.0008120317,
0.01075,-0.0037618007,
0.011,-0.0026653914,
0.01125,0.0003278219,
0.0115,-0.0070859822,
0.01175,-0.0140639124,
0.012,-0.0137548391,
0.01225,-0.0087968064,
0.0125,-0.0028859172,
0.01275,-0.0143539459,
0.013,-0.0146342088,
0.01325,-0.0077457847,
0.0135,0.0001192589,
0.01375,-0.0011712975,
0.014,-0.0056062941,
0.01425,-0.0028992689,
0.0145,-0.0011712901,
0.01475,-0.0013001299,
0.015,-0.0060887937,
0.01525,-0.0027862799,
0.0155,0.0031747050,
0.01575,-0.0024301969,
0.016,-0.0039320048,
0.01625,-0.0015849677,
0.0165,0.0077490318,
0.01675,0.0023561714,
0.017,-0.0057000709,
0.01725,-0.0082743689,
0.0175,-0.0011616370,
0.01775,0.0011800616,
0.018,-0.0017306344,
0.01825,-0.0040370310,
0.0185,-0.0047887573,
0.01875,-0.0008090531,
0.019,0.0033529333,
0.01925,0.0026458874,
0.0195,0.0077883014,
0.01975,0.0102162128,
0.02,0.0044267457,
0.02025,-0.0015260697,
0.0205,-0.0017675966,
0.02075,0.0025495535,
0.021,0.0034644769,
0.02125,-0.0074558491,
0.0215,-0.0074077123,
0.02175,-0.0023661996,
0.022,0.0034307763,
0.02225,-0.0044086198,
0.0225,-0.0038884147,
0.02275,0.0047550267,
0.023,0.0055441563,
0.02325,0.0009266621,
0.0235,-0.0001018772,
0.02375,0.0072937696,
0.024,0.0088555664,
0.02425,0.0022726764,
0.0245,0.0002920974,
0.02475,0.0086636897,
0.025,0.0111097582,
0.02525,0.0071189795,
0.0255,0.0019231362,
0.02575,0.0041750595,
0.026,0.0059184935,
0.02625,0.0077236658,
0.0265,0.0040752906,
0.02675,0.0005383272,
0.027,0.0028098524,
0.02725,0.0041489415,
0.0275,-0.0001086451,
0.02775,-0.0008977046,
0.028,0.0039008916,
0.02825,0.0097931409,
0.0285,0.0048303534,
0.02875,0.0018557373,
0.029,0.0083674574,
0.02925,0.0166319516,
0.0295,0.0130216414,
0.02975,0.0100299912,
0.03,0.0125999926,
0.03025,0.0189960860,
0.0305,0.0147637278,
0.03075,0.0060385903,
0.031,0.0076495707,
0.03125,0.0083677676,
0.0315,0.0039184382,
0.03175,-0.0043086698,
0.032,-0.0016868166,
0.03225,0.0006946246,
0.0325,0.0002686736,
0.03275,-0.0048031420,
0.033,-0.0038554082,
0.03325,0.0077355737,
0.0335,0.0074954778,
0.03375,0.0045074346,
0.034,0.0022382317,
0.03425,0.0055299317,
0.0345,0.0082889125,
0.03475,0.0062534399,
0.035,0.0000121786,
0.03525,-0.0047846888,
0.0355,-0.0003366607,
0.03575,0.0014302493,
0.036,-0.0043210066,
0.03625,-0.0030478756,
0.0365,0.0002142404,
0.03675,-0.0011916282,
0.037,-0.0098041268,
0.03725,-0.0106910709,
0.0375,-0.0000214044,
0.03775,0.0019452742,
0.038,-0.0068326825,
0.03825,-0.0060164258,
0.0385,-0.0007594897,
0.03875,0.0045577255,
0.039,-0.0031181937,
0.03925,-0.0059080031,
0.0395,0.0002202377,
0.03975,-0.0005852429,
0.04,-0.0023657575,
0.04025,-0.0025058743,
0.0405,0.0003812623,
0.04075,0.0031427471,
0.041,-0.0014322897,
0.04125,-0.0069001131,
0.0415,-0.0059198970,
0.04175,-0.0031129322,
0.042,-0.0052264510,
0.04225,-0.0140086925,
0.0425,-0.0160631929,
0.04275,-0.0077131060,
0.043,-0.0040736031,
0.04325,-0.0071116444,
0.0435,-0.0120926723,
0.04375,-0.0046310336,
0.044,0.0028344244,
0.04425,-0.0008658791,
0.0445,-0.0022522837,
0.04475,0.0022066918,
0.045,0.0013060122,
0.04525,-0.0067209387,
0.0455,-0.0138111860,
0.04575,-0.0093639279,
0.046,-0.0053696893,
0.04625,-0.0083883367,
0.0465,-0.0139360745,
0.04675,-0.0111025590,
0.047,-0.0058268658,
0.04725,-0.0006182470,
0.0475,-0.0038497425,
0.04775,-0.0034643915,
0.048,0.0001398132,
0.04825,0.0024301820,
0.0485,-0.0019953707,
0.04875,-0.0071833041,
0.049,-0.0027068732,
0.04925,-0.0006374982,
