Date,2020-11-25 14:49:09
Filename,STFMK-20201105-LW19-2373_20201125_144909_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-SF-04, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.006729,
Data Length,12000,
0,0.0027412348,
0.00025,-0.0008418714,
0.0005,0.0085352995,
0.00075,0.0058222795,
0.001,0.0000705479,
0.00125,-0.0007699095,
0.0015,0.0068988116,
0.00175,0.0085716415,
0.002,0.0009670862,
0.00225,-0.0031998553,
0.0025,0.0049651177,
0.00275,0.0075648446,
0.003,0.0033396715,
0.00325,0.0016548451,
0.0035,0.0086806081,
0.00375,0.0110888146,
0.004,0.0073759449,
0.00425,0.0043953322,
0.0045,0.0070411297,
0.00475,0.0108613716,
0.005,0.0055687977,
0.00525,-0.0029329162,
0.0055,0.0005996684,
0.00575,0.0009521524,
0.006,0.0043759858,
0.00625,-0.0045982124,
0.0065,-0.0064174719,
0.00675,0.0017082395,
0.007,0.0049749250,
0.00725,0.0008511919,
0.0075,-0.0014238100,
0.00775,0.0044225487,
0.008,0.0031593367,
0.00825,-0.0011745527,
0.0085,-0.0066640601,
0.00875,-0.0049638618,
0.009,0.0019818919,
0.00925,-0.0064547821,
0.0095,-0.0095943157,
0.00975,-0.0092817526,
0.01,-0.0035754028,
0.01025,-0.0034939733,
0.0105,-0.0084340423,
0.01075,-0.0057259966,
0.011,0.0033973828,
0.01125,0.0025575338,
0.0115,-0.0060015945,
0.01175,-0.0058507696,
0.012,-0.0028328088,
0.01225,0.0005853335,
0.0125,-0.0083396966,
0.01275,-0.0131900311,
0.013,-0.0059738019,
0.01325,-0.0011105534,
0.0135,-0.0082413256,
0.01375,-0.0118539957,
0.014,-0.0075623775,
0.01425,-0.0023358003,
0.0145,0.0006107562,
0.01475,-0.0052617155,
0.015,-0.0037736238,
0.01525,0.0039075976,
0.0155,-0.0017838698,
0.01575,-0.0051771435,
0.016,-0.0049549285,
0.01625,-0.0005898601,
0.0165,-0.0039174282,
0.01675,-0.0061285906,
0.017,-0.0096286032,
0.01725,-0.0046741241,
0.0175,0.0042314585,
0.01775,-0.0033804274,
