Date,2020-12-01 07:22:09
Filename,STFMK-20201105-LW19-1941_20201201_072209_004.dat
Data Label,벨트느슨함
Label_No,04
Motor Spec,R-EF-05, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.007184,
Data Length,12000,
0,0.0018254346,
0.00025,-0.0109685436,
0.0005,0.0002383361,
0.00075,0.0075197369,
0.001,-0.0083012143,
0.00125,-0.0100781498,
0.0015,0.0023365039,
0.00175,-0.0028177779,
0.002,-0.0074238167,
0.00225,-0.0077769533,
0.0025,0.0015082234,
0.00275,0.0012495626,
0.003,-0.0125608817,
0.00325,-0.0018498355,
0.0035,0.0049715298,
0.00375,-0.0049470756,
0.004,-0.0050197588,
0.00425,-0.0046829227,
0.0045,0.0037126923,
0.00475,-0.0009488182,
0.005,-0.0080268262,
0.00525,0.0063764914,
0.0055,0.0055231364,
0.00575,-0.0006726939,
0.006,0.0117055923,
0.00625,0.0054842541,
0.0065,0.0072784387,
0.00675,0.0100509347,
0.007,0.0087271389,
0.00725,0.0130954050,
0.0075,0.0050845561,
0.00775,0.0111430492,
0.008,0.0219888911,
0.00825,0.0065069464,
0.0085,0.0139055308,
0.00875,0.0231024735,
0.009,0.0132827600,
0.00925,0.0089468975,
0.0095,0.0152540747,
0.00975,0.0217597932,
0.01,0.0101410430,
0.01025,-0.0011689648,
0.0105,0.0156173380,
0.01075,0.0136883883,
0.011,-0.0014353193,
0.01125,0.0125056859,
0.0115,0.0121141840,
0.01175,0.0059725866,
0.012,0.0004061463,
0.01225,0.0004816254,
0.0125,0.0147287631,
0.01275,-0.0035940527,
0.013,-0.0057260185,
0.01325,0.0146372346,
0.0135,0.0030860435,
0.01375,0.0018403807,
0.014,0.0112874042,
0.01425,0.0086352630,
0.0145,0.0057003982,
0.01475,-0.0011555774,
0.015,0.0083004860,
0.01525,0.0127071375,
0.0155,-0.0066070748,
0.01575,-0.0004843175,
0.016,0.0134033477,
0.01625,0.0041460614,
0.0165,-0.0006206633,
0.01675,0.0028854923,
0.017,0.0097496212,
0.01725,0.0032923650,
0.0175,-0.0043849126,
0.01775,0.0074185478,
0.018,0.0084580313,
0.01825,-0.0046856767,
0.0185,-0.0047323341,
0.01875,0.0033226751,
0.019,0.0016458763,
0.01925,-0.0054438929,
0.0195,-0.0041508325,
0.01975,0.0060656476,
0.02,-0.0001345517,
0.02025,-0.0065402659,
0.0205,-0.0002702207,
0.02075,-0.0046418877,
