Date,2020-11-27 09:32:17
Filename,STFMK-20201105-LW19-1941_20201127_093217_004.dat
Data Label,정상
Label_No,00
Motor Spec,R-EF-05, 1760,2.2, 4.7,
Period,3SEC
Sample Rate,4000
RMS,0.008296,
Data Length,12000,
0,-0.0026070010,
0.00025,-0.0077973390,
0.0005,-0.0010821539,
0.00075,-0.0041045891,
0.001,-0.0028993154,
0.00125,-0.0031270818,
0.0015,0.0000810000,
0.00175,-0.0019528564,
0.002,-0.0094688023,
0.00225,-0.0082964581,
0.0025,-0.0117837805,
0.00275,-0.0192783754,
0.003,-0.0154058766,
0.00325,-0.0105765825,
0.0035,-0.0080695525,
0.00375,-0.0116953701,
0.004,-0.0049643260,
0.00425,0.0018113480,
0.0045,-0.0111464085,
0.00475,-0.0103451237,
0.005,-0.0042552399,
0.00525,-0.0087984651,
0.0055,-0.0179323070,
0.00575,-0.0140677942,
0.006,-0.0022068485,
0.00625,-0.0053316080,
0.0065,-0.0123885963,
0.00675,-0.0024774200,
0.007,0.0039137620,
0.00725,-0.0045423699,
0.0075,-0.0077773375,
0.00775,0.0006655846,
0.008,0.0061139585,
0.00825,-0.0110231349,
0.0085,-0.0116452528,
0.00875,0.0054215728,
0.009,-0.0035820766,
0.00925,-0.0127103813,
0.0095,-0.0037064475,
0.00975,0.0010114771,
0.01,-0.0039739399,
0.01025,-0.0149605926,
0.0105,-0.0004090646,
0.01075,0.0114710797,
0.011,-0.0069421199,
0.01125,-0.0013072527,
0.0115,0.0084196795,
0.01175,0.0001462485,
0.012,-0.0058256136,
0.01225,-0.0050473809,
0.0125,0.0061220042,
0.01275,0.0059311157,
0.013,-0.0070787473,
0.01325,0.0090255858,
0.0135,0.0197421461,
0.01375,0.0117038228,
0.014,0.0105394050,
0.01425,0.0107798595,
0.0145,0.0133196311,
0.01475,0.0040406249,
0.015,-0.0005555434,
0.01525,0.0129621588,
0.0155,0.0128009180,
0.01575,0.0012568901,
0.016,0.0064359703,
0.01625,0.0100736618,
0.0165,0.0103360116,
0.01675,0.0009748205,
0.017,0.0033550735,
0.01725,0.0092129558,
0.0175,0.0017003848,
0.01775,0.0044732303,
0.018,0.0098525649,
0.01825,0.0133264149,
0.0185,0.0060928743,
0.01875,0.0050787404,
0.019,0.0066594016,
0.01925,-0.0039792252,
0.0195,-0.0049484340,
0.01975,0.0021910111,
0.02,-0.0026623486,
0.02025,-0.0008958569,
0.0205,0.0018047695,
0.02075,0.0054773334,
0.021,0.0059282896,
0.02125,0.0003196527,
0.0215,0.0078254454,
0.02175,0.0050373338,
0.022,-0.0077660587,
0.02225,-0.0040269825,
0.0225,0.0067566005,
0.02275,-0.0009572105,
0.023,-0.0003661923,
0.02325,0.0047781458,
0.0235,0.0148873217,
0.02375,0.0014457422,
0.024,0.0034405589,
0.02425,0.0161646605,
0.0245,0.0079070330,
0.02475,-0.0040414347,
0.025,0.0009701379,
0.02525,0.0037842290,
0.0255,0.0011401611,
0.02575,-0.0107666031,
0.026,-0.0000316671,
0.02625,0.0088680936,
0.0265,-0.0096706413,
0.02675,-0.0033911606,
0.027,0.0108699948,
0.02725,0.0000897102,
0.0275,-0.0002665251,
0.02775,0.0021829342,
0.028,0.0078540593,
0.02825,0.0012976900,
0.0285,-0.0134906676,
0.02875,0.0027543781,
0.029,0.0014007894,
0.02925,-0.0123491418,
0.0295,-0.0030970918,
0.02975,0.0004750487,
0.03,0.0012235187,
0.03025,-0.0047846297,
0.0305,-0.0020183339,
0.03075,0.0064520286,
0.031,-0.0070223659,
0.03125,-0.0124064283,
0.0315,0.0043075224,
0.03175,-0.0023050290,
0.032,-0.0035467839,
0.03225,-0.0019154047,
0.0325,-0.0003151287,
0.03275,0.0042067240,
0.033,-0.0113222552,
0.03325,-0.0020392097,
0.0335,-0.0025992168,
0.03375,-0.0131546967,
0.034,-0.0086276289,
0.03425,-0.0059609585,
0.0345,-0.0028211586,
0.03475,-0.0008875923,
0.035,-0.0091901682,
0.03525,-0.0039362921,
0.0355,-0.0098471846,
0.03575,-0.0160402227,
0.036,-0.0169572793,
0.03625,-0.0156175764,
0.0365,-0.0108250473,
0.03675,-0.0103840921,
0.037,-0.0095252991,
0.03725,0.0014087105,
0.0375,-0.0089706611,
0.03775,-0.0092405835,
0.038,-0.0030081319,
0.03825,-0.0114993276,
0.0385,-0.0104152504,
0.03875,-0.0135613512,
0.039,-0.0126251029,
0.03925,-0.0042552780,
0.0395,-0.0086491844,
0.03975,-0.0001919098,
0.04,0.0031765448,
0.04025,-0.0028740012,
0.0405,0.0028187535,
0.04075,0.0076295384,
0.041,0.0071008494,
0.04125,0.0049695568,
0.0415,0.0020738048,
0.04175,0.0110891219,
0.042,0.0036442759,
0.04225,-0.0025046824,
0.0425,0.0123713743,
0.04275,0.0072580678,
0.043,0.0036362491,
0.04325,0.0046875523,
0.0435,0.0106683979,
0.04375,0.0140590454,
0.044,-0.0002930362,
0.04425,0.0120934760,
0.0445,0.0155385528,
0.04475,0.0020258678,
0.045,0.0011254372,
0.04525,0.0044921143,
