Date,2020-11-25 14:08:24
Filename,STFMK-20201105-LW19-3184_20201125_140824_004.dat
Data Label,정상
Label_No,00
Motor Spec,L-PAHU-03S, 1760,55, 105.3,
Period,3SEC
Sample Rate,4000
RMS,0.015035,
Data Length,12000,
0,0.0120569589,
0.00025,-0.0019995319,
0.0005,0.0002125015,
0.00075,0.0106438166,
0.001,-0.0000084648,
0.00125,0.0217586104,
0.0015,0.0091535570,
0.00175,0.0130894929,
0.002,0.0186578110,
0.00225,0.0105297519,
0.0025,-0.0018257238,
0.00275,0.0136157107,
0.003,0.0004425647,
0.00325,-0.0079121124,
0.0035,-0.0125528974,
0.00375,0.0021172573,
0.004,-0.0073864176,
0.00425,-0.0447852910,
0.0045,-0.0130908228,
0.00475,0.0041153552,
0.005,0.0044419095,
0.00525,-0.0106024193,
0.0055,0.0146894855,
0.00575,0.0101404246,
0.006,0.0080605261,
0.00625,0.0006980315,
0.0065,0.0238621682,
0.00675,0.0044360696,
0.007,0.0050405823,
0.00725,-0.0115626808,
0.0075,0.0024131015,
0.00775,0.0123230414,
0.008,-0.0001050185,
0.00825,-0.0145508610,
0.0085,-0.0030378876,
0.00875,-0.0007740618,
0.009,-0.0102692647,
0.00925,-0.0115653770,
0.0095,-0.0206503421,
0.00975,-0.0111361872,
0.01,-0.0123268608,
0.01025,-0.0174686182,
0.0105,-0.0134091321,
0.01075,0.0143587645,
0.011,-0.0192461871,
0.01125,0.0018052647,
0.0115,-0.0008594519,
0.01175,0.0090045910,
0.012,-0.0073870826,
0.01225,-0.0109413173,
0.0125,0.0019640652,
0.01275,-0.0016303947,
0.013,-0.0071873274,
0.01325,-0.0154681141,
0.0135,-0.0045310734,
0.01375,-0.0273939520,
0.014,0.0014565543,
0.01425,-0.0057356521,
0.0145,-0.0208641607,
0.01475,-0.0227155462,
0.015,-0.0238811132,
0.01525,-0.0238683261,
0.0155,-0.0290412251,
0.01575,0.0020462030,
0.016,-0.0128627438,
0.01625,-0.0216125101,
0.0165,-0.0160713587,
0.01675,0.0132006574,
0.017,-0.0208187476,
0.01725,-0.0021195628,
0.0175,0.0086283702,
0.01775,-0.0081482520,
0.018,-0.0045877555,
0.01825,-0.0191712398,
0.0185,0.0061803288,
0.01875,-0.0039196396,
0.019,-0.0214678608,
0.01925,-0.0349041000,
0.0195,0.0001497690,
0.01975,-0.0147857312,
0.02,-0.0134965051,
0.02025,-0.0132110389,
0.0205,0.0037413102,
0.02075,-0.0095173903,
0.021,-0.0167271253,
0.02125,-0.0152314687,
0.0215,0.0167134982,
0.02175,-0.0082207117,
0.022,-0.0068183173,
0.02225,-0.0041444954,
0.0225,0.0026544065,
0.02275,-0.0087914281,
0.023,0.0012095770,
0.02325,-0.0099654645,
0.0235,-0.0048546591,
0.02375,0.0067277807,
0.024,-0.0111443782,
0.02425,-0.0263037998,
0.0245,0.0155512393,
0.02475,-0.0258550383,
0.025,-0.0311410259,
0.02525,-0.0033945625,
0.0255,-0.0201406330,
0.02575,-0.0251883063,
0.026,-0.0247834828,
0.02625,-0.0275991503,
0.0265,0.0108029433,
0.02675,-0.0227856599,
0.027,-0.0046262867,
0.02725,-0.0088546574,
0.0275,0.0121637890,
0.02775,-0.0032543731,
0.028,-0.0020203886,
0.02825,0.0075970432,
0.0285,0.0114867631,
0.02875,0.0094701648,
0.029,-0.0017755155,
0.02925,0.0114034377,
0.0295,0.0159755461,
0.02975,0.0079076719,
0.03,0.0015926450,
0.03025,0.0055624824,
0.0305,0.0052557695,
0.03075,0.0137010738,
0.031,-0.0025945073,
0.03125,-0.0122540118,
0.0315,-0.0011269879,
0.03175,-0.0051626572,
0.032,-0.0222920217,
0.03225,-0.0023194656,
0.0325,0.0132559789,
0.03275,0.0061680446,
0.033,0.0010707334,
0.03325,0.0038341414,
0.0335,0.0205493942,
0.03375,0.0003296174,
0.034,0.0197354071,
0.03425,0.0072121900,
0.0345,0.0135520017,
0.03475,0.0124341054,
0.035,-0.0061936541,
0.03525,-0.0383325145,
0.0355,-0.0158684924,
0.03575,-0.0630249232,
0.036,-0.0218204446,
0.03625,0.0005980310,
0.0365,0.0077675525,
0.03675,-0.0362639204,
0.037,0.0160514135,
0.03725,0.0029390538,
0.0375,-0.0214665048,
0.03775,0.0055646906,
0.038,0.0009011523,
0.03825,0.0078684269,
0.0385,0.0158143900,
0.03875,0.0023468356,
0.039,0.0185032208,
0.03925,0.0062732650,
0.0395,0.0131488638,
0.03975,-0.0060557672,
0.04,0.0019913826,
0.04025,0.0188846290,
0.0405,0.0276200697,
0.04075,0.0108599551,
0.041,0.0199762620,
0.04125,0.0235682428,
0.0415,-0.0035322914,
0.04175,0.0096926391,
0.042,0.0165011287,
0.04225,0.0212799106,
0.0425,-0.0068643801,
0.04275,0.0004698302,
0.043,0.0025877266,
0.04325,-0.0079353880,
0.0435,0.0070587220,
0.04375,-0.0081721218,
0.044,0.0064311950,
0.04425,0.0073242444,
0.0445,0.0046788147,
0.04475,-0.0008555260,
0.045,0.0147991404,
0.04525,-0.0044216537,
0.0455,-0.0197786819,
0.04575,-0.0049639959,
0.046,0.0023267539,
0.04625,-0.0055857599,
0.0465,-0.0082650278,
0.04675,0.0038270894,
0.047,-0.0059810611,
0.04725,-0.0014724450,
0.0475,-0.0556212068,
0.04775,-0.0464692377,
0.048,-0.0094420565,
0.04825,0.0117530264,
0.0485,-0.0023715217,
0.04875,0.0049723741,
0.049,0.0095136780,
0.04925,0.0086968215,
0.0495,0.0055740317,
0.04975,0.0234843828,
0.05,0.0218083933,
0.05025,0.0216234569,
0.0505,0.0078346357,
0.05075,0.0087464117,
0.051,0.0020967731,
0.05125,0.0118467174,
0.0515,0.0047453116,
0.05175,-0.0142148305,
0.052,0.0079929195,
0.05225,-0.0008310144,
0.0525,-0.0154239014,
0.05275,-0.0377639085,
0.053,-0.0184274539,
0.05325,-0.0238402896,
0.0535,-0.0168160610,
0.05375,0.0067089330,
0.054,0.0082762679,
0.05425,-0.0016226078,
0.0545,-0.0105371987,
0.05475,0.0028924956,
0.055,0.0057397196,
0.05525,0.0045278817,
0.0555,0.0014954172,
0.05575,-0.0035648805,
0.056,-0.0064838822,
0.05625,0.0115610389,
0.0565,-0.0074007963,
0.05675,-0.0135344844,
0.057,-0.0012405633,
0.05725,-0.0027923100,
0.0575,-0.0218464658,
0.05775,-0.0200044848,
0.058,0.0016209582,
0.05825,-0.0029682345,
0.0585,0.0010878143,
0.05875,0.0042576664,
0.059,0.0235673487,
0.05925,0.0005626169,
0.0595,-0.0114300940,
0.05975,-0.0126119610,
0.06,0.0093534943,
0.06025,0.0075242347,
0.0605,0.0052675628,
0.06075,0.0150462762,
0.061,0.0144650498,
0.06125,0.0058169425,
0.0615,-0.0160108134,
0.06175,0.0162540507,
0.062,0.0097901821,
0.06225,0.0053276783,
0.0625,0.0001288020,
0.06275,0.0002230632,
0.063,0.0063413959,
0.06325,-0.0032969806,
0.0635,-0.0181452259,
0.06375,-0.0217540897,
0.064,-0.0013308227,
0.06425,-0.0086751301,
0.0645,-0.0028219202,
0.06475,0.0000371777,
0.065,0.0249362439,
0.06525,-0.0099914744,
0.0655,-0.0097121876,
0.06575,0.0131854638,
0.066,0.0020041720,
0.06625,-0.0065181456,
0.0665,-0.0041967030,
0.06675,0.0036267638,
0.067,-0.0024625028,
0.06725,-0.0093515497,
0.0675,-0.0004764798,
0.06775,0.0091889743,
0.068,-0.0132140014,
0.06825,-0.0226477757,
0.0685,-0.0268664584,
0.06875,-0.0085081169,
0.069,-0.0034133126,
0.06925,0.0062204273,
0.0695,-0.0119643826,
0.06975,0.0098148361,
0.07,0.0030445196,
0.07025,-0.0270525198,
0.0705,-0.0018813356,
0.07075,0.0035980854,
0.071,0.0256246701,
0.07125,-0.0263092071,
0.0715,0.0035716139,
0.07175,0.0028128717,
0.072,0.0055405628,
0.07225,-0.0071784463,
0.0725,0.0052526505,
0.07275,0.0036606062,
0.073,0.0246259384,
0.07325,0.0032407080,
0.0735,-0.0230708420,
0.07375,0.0125850663,
0.074,-0.0078662755,
0.07425,-0.0144993616,
0.0745,-0.0306544751,
0.07475,0.0138431126,
0.075,-0.0484187827,
0.07525,-0.0088578071,
0.0755,0.0270698573,
0.07575,-0.0086611612,
0.076,-0.0287731346,
0.07625,0.0000167338,
0.0765,-0.0100490786,
0.07675,0.0181554612,
0.077,0.0164901130,
0.07725,-0.0207338575,
0.0775,0.0048123118,
0.07775,0.0198711436,
0.078,0.0229798276,
0.07825,-0.0336045623,
0.0785,0.0015462043,
0.07875,-0.0121671688,
0.079,0.0112579167,
0.07925,-0.0092101581,
0.0795,-0.0249718986,
0.07975,-0.0033209496,
0.08,0.0182545390,
0.08025,-0.0052164523,
0.0805,-0.0075411182,
0.08075,0.0169425253,
0.081,-0.0312549025,
0.08125,-0.0074280961,
0.0815,0.0162101239,
0.08175,0.0276375860,
0.082,0.0110388491,
0.08225,0.0088548250,
0.0825,0.0119678024,
0.08275,0.0253620353,
0.083,0.0090207085,
0.08325,-0.0007880936,
0.0835,0.0207852423,
0.08375,0.0150526604,
0.084,0.0207022652,
0.08425,-0.0086851493,
0.0845,0.0156928021,
0.08475,0.0099492036,
0.085,0.0080841724,
0.08525,-0.0040460625,
0.0855,0.0260168687,
0.08575,0.0162632484,
0.086,0.0068533486,
0.08625,0.0122466888,
0.0865,0.0047664721,
0.08675,0.0120363366,
0.087,0.0159471128,
0.08725,0.0037808828,
0.0875,0.0130399605,
0.08775,0.0189267788,
0.088,0.0016549996,
0.08825,0.0084620407,
0.0885,0.0077751190,
0.08875,0.0005288785,
0.089,0.0140207447,
0.08925,0.0135642961,
0.0895,0.0221920311,
0.08975,0.0112281460,
0.09,0.0119887162,
0.09025,-0.0096165352,
0.0905,0.0014101766,
0.09075,0.0120453984,
0.091,0.0054139108,
0.09125,0.0098500540,
0.0915,0.0163499471,
0.09175,-0.0049879951,
0.092,0.0024904348,
0.09225,-0.0079067601,
0.0925,0.0162396785,
0.09275,0.0158558358,
0.093,-0.0064678299,
0.09325,0.0151364496,
0.0935,0.0281910300,
0.09375,0.0162157472,
0.094,0.0150832627,
0.09425,0.0091148457,
0.0945,-0.0053378749,
0.09475,0.0175646059,
0.095,0.0149122700,
0.09525,0.0088461367,
0.0955,0.0037886808,
0.09575,0.0029830958,
0.096,-0.0100226868,
0.09625,-0.0068897698,
0.0965,0.0114600062,
0.09675,0.0016958498,
0.097,-0.0149730444,
0.09725,-0.0069332225,
0.0975,0.0121911140,
0.09775,0.0021802317,
0.098,0.0117704505,
0.09825,0.0265624207,
0.0985,0.0154313203,
0.09875,0.0069671269,
0.099,0.0133568291,
0.09925,0.0010592465,
0.0995,0.0113411518,
0.09975,-0.0030340850,
0.1,0.0015888059,
0.10025,-0.0187353604,
0.1005,-0.0102984961,
0.10075,-0.0213543735,
0.101,-0.0304078683,
0.10125,-0.0146298250,
0.1015,0.0059974608,
0.10175,0.0101142237,
0.102,0.0116081443,
0.10225,0.0044028051,
0.1025,0.0122091118,
0.10275,0.0145992031,
0.103,0.0055495519,
0.10325,0.0008622382,
0.1035,0.0205705892,
0.10375,0.0025201524,
0.104,-0.0114478813,
0.10425,0.0231578909,
0.1045,0.0201901570,
0.10475,-0.0107876537,
0.105,0.0024913512,
0.10525,0.0133563671,
0.1055,-0.0021286819,
0.10575,-0.0074999724,
0.106,-0.0050929785,
0.10625,-0.0126751196,
0.1065,0.0062906095,
0.10675,-0.0082776872,
0.107,-0.0196384639,
0.10725,0.0165482126,
0.1075,0.0033175431,
0.10775,-0.0038650464,
0.108,0.0028718752,
0.10825,0.0064338613,
0.1085,-0.0043827072,
0.10875,0.0078811236,
0.109,0.0023260603,
0.10925,0.0041849595,
0.1095,-0.0019133002,
0.10975,-0.0090693738,
0.11,-0.0040969085,
0.11025,-0.0045786067,
0.1105,0.0059800604,
0.11075,-0.0121584907,
0.111,0.0032281997,
0.11125,-0.0026202942,
0.1115,-0.0092332736,
0.11175,-0.0230446532,
0.112,-0.0096150376,
0.11225,-0.0033650817,
0.1125,0.0075259921,
0.11275,-0.0186455175,
0.113,-0.0131043214,
0.11325,0.0057531446,
0.1135,-0.0044476497,
0.11375,-0.0104298517,
0.114,-0.0038516335,
0.11425,0.0052689165,
0.1145,-0.0104497895,
0.11475,-0.0055398121,
0.115,0.0045292005,
0.11525,0.0085219266,
0.1155,0.0142365601,
0.11575,-0.0035306977,
0.116,0.0039732554,
0.11625,0.0067645051,
0.1165,0.0066152918,
0.11675,-0.0010821266,
0.117,0.0013107471,
0.11725,-0.0118519552,
0.1175,-0.0130790239,
0.11775,-0.0222202204,
0.118,-0.0129610496,
0.11825,0.0095218215,
0.1185,-0.0002014621,
0.11875,0.0002391802,
0.119,0.0052150954,
0.11925,0.0058369967,
0.1195,0.0040085167,
0.11975,0.0102256592,
0.12,-0.0185189508,
0.12025,-0.0157007780,
0.1205,-0.0001016216,
0.12075,-0.0109154126,
0.121,0.0009888802,
0.12125,-0.0046502952,
0.1215,-0.0073878462,
0.12175,-0.0211006403,
0.122,-0.0106675224,
0.12225,-0.0100482125,
0.1225,-0.0220203400,
0.12275,-0.0052744355,
0.123,0.0104490612,
0.12325,0.0213577580,
0.1235,-0.0166338161,
0.12375,-0.0144712478,
0.124,0.0098437173,
0.12425,-0.0139892297,
0.1245,-0.0061880480,
0.12475,0.0095582958,
0.125,0.0029350559,
0.12525,-0.0051612994,
0.1255,0.0054438114,
0.12575,-0.0153230643,
0.126,-0.0050678705,
0.12625,0.0290987846,
0.1265,0.0141006391,
0.12675,-0.0113437567,
0.127,-0.0039508757,
0.12725,0.0165208876,
0.1275,-0.0075216768,
0.12775,0.0015102564,
0.128,0.0018721113,
0.12825,0.0075075817,
0.1285,-0.0237472691,
0.12875,-0.0119575905,
0.129,-0.0003269469,
0.12925,-0.0098416954,
0.1295,0.0043954048,
0.12975,0.0068370840,
0.13,-0.0113953538,
0.13025,0.0152787836,
0.1305,0.0012827406,
0.13075,-0.0058582560,
0.131,-0.0145655014,
0.13125,-0.0045005502,
0.1315,-0.0062848045,
0.13175,0.0057209092,
0.132,0.0055935103,
0.13225,-0.0047445050,
0.1325,-0.0189026110,
0.13275,-0.0025365015,
0.133,-0.0073604840,
0.13325,-0.0133617828,
0.1335,-0.0208120625,
0.13375,-0.0101936888,
0.134,-0.0103247175,
0.13425,0.0192839224,
0.1345,-0.0185937807,
0.13475,-0.0282172337,
0.135,-0.0193898473,
0.13525,-0.0041013043,
0.1355,-0.0093505979,
0.13575,0.0068751900,
0.136,0.0016192795,
0.13625,-0.0100536216,
0.1365,0.0064765383,
0.13675,0.0025154522,
0.137,0.0052450248,
0.13725,0.0129832691,
0.1375,-0.0051865936,
0.13775,-0.0112334369,
0.138,0.0050884709,
0.13825,-0.0029555783,
0.1385,-0.0176061988,
0.13875,-0.0211332180,
0.139,-0.0060022688,
