Date,2020-11-28 10:36:55
Filename,STFMK-20201105-LW19-3184_20201128_103655_004.dat
Data Label,회전체불평형
Label_No,02
Motor Spec,L-PAHU-03S, 1760,55, 105.3,
Period,3SEC
Sample Rate,4000
RMS,0.018040,
Data Length,12000,
0,0.0271878615,
0.00025,0.0277882423,
0.0005,0.0194462575,
0.00075,0.0158294514,
0.001,0.0254675224,
0.00125,0.0421634279,
0.0015,0.0002491569,
0.00175,0.0091180746,
0.002,0.0342520699,
0.00225,0.0179210324,
0.0025,0.0041399715,
0.00275,-0.0028046884,
0.003,0.0104961544,
0.00325,0.0127760330,
0.0035,0.0068725822,
0.00375,0.0259797089,
0.004,0.0217703916,
0.00425,0.0311965961,
0.0045,0.0143013038,
0.00475,0.0376918465,
0.005,0.0287939329,
0.00525,0.0237591024,
0.0055,0.0021983513,
0.00575,-0.0039591133,
0.006,-0.0185879152,
0.00625,0.0220761038,
0.0065,0.0052528139,
0.00675,0.0224393383,
0.007,0.0223779324,
0.00725,-0.0195376929,
0.0075,-0.0017748775,
0.00775,0.0013517838,
0.008,0.0300979353,
0.00825,0.0010449938,
0.0085,0.0176877845,
0.00875,0.0197078995,
0.009,0.0183506310,
0.00925,0.0240054131,
0.0095,-0.0069282101,
0.00975,0.0237798765,
0.01,0.0047126138,
0.01025,0.0303307287,
0.0105,0.0229874719,
0.01075,0.0092811938,
0.011,0.0184960458,
0.01125,0.0168400891,
0.0115,0.0034687214,
0.01175,0.0293006971,
0.012,0.0277510304,
0.01225,0.0171583239,
0.0125,-0.0115244789,
0.01275,0.0234889872,
0.013,-0.0228009541,
0.01325,-0.0790860876,
0.0135,0.0094703129,
0.01375,-0.0100805443,
0.014,0.0066433079,
0.01425,0.0172132775,
0.0145,0.0016671582,
0.01475,-0.0110801831,
0.015,0.0047477684,
0.01525,0.0189530123,
0.0155,-0.0114161018,
0.01575,-0.0059841922,
0.016,0.0090886541,
0.01625,-0.0064405682,
0.0165,0.0024664446,
0.01675,-0.0067751091,
0.017,-0.0145520605,
0.01725,-0.0141953174,
0.0175,0.0142559363,
0.01775,0.0123361312,
0.018,0.0133033236,
0.01825,0.0098132053,
0.0185,-0.0048657865,
0.01875,0.0004886295,
0.019,0.0196856279,
0.01925,-0.0109476708,
0.0195,0.0022731994,
0.01975,0.0104071163,
0.02,0.0136819258,
0.02025,-0.0107175717,
0.0205,0.0121019091,
0.02075,-0.0076273414,
0.021,0.0086525492,
0.02125,0.0203908887,
0.0215,-0.0009831454,
0.02175,-0.0064384267,
0.022,0.0101747606,
0.02225,-0.0102570187,
0.0225,-0.0115274899,
0.02275,0.0284656417,
0.023,-0.0279096980,
0.02325,-0.0053146249,
0.0235,-0.0017468503,
0.02375,-0.0256578159,
0.024,0.0252876580,
0.02425,0.0017643978,
0.0245,-0.0286435727,
0.02475,0.0035022513,
0.025,-0.0039033641,
0.02525,-0.0321029201,
0.0255,-0.0068209781,
0.02575,0.0271617081,
0.026,-0.0073021678,
0.02625,-0.0071721142,
0.0265,0.0008219545,
0.02675,-0.0143933184,
0.027,-0.0223343000,
0.02725,0.0069173239,
0.0275,-0.0348526016,
0.02775,-0.0101340804,
0.028,0.0130765438,
0.02825,0.0087181330,
0.0285,0.0001698519,
0.02875,0.0203136578,
0.029,-0.0061298143,
0.02925,-0.0270092599,
0.0295,-0.0021389651,
0.02975,-0.0023643896,
0.03,-0.0245219059,
0.03025,-0.0218068622,
0.0305,-0.0002677460,
0.03075,0.0160419997,
0.031,0.0026378573,
0.03125,-0.0164306723,
0.0315,0.0190689545,
0.03175,0.0034887353,
0.032,-0.0117477691,
0.03225,0.0015610195,
0.0325,0.0076360563,
0.03275,-0.0057380130,
0.033,0.0068952790,
0.03325,-0.0118530132,
0.0335,-0.0176666882,
0.03375,0.0229633339,
0.034,0.0289776586,
0.03425,-0.0351709239,
0.0345,0.0302204024,
0.03475,0.0275883805,
0.035,0.0021058789,
0.03525,0.0025198287,
0.0355,0.0251513906,
0.03575,-0.0080473125,
0.036,0.0013208287,
0.03625,0.0088591212,
0.0365,0.0017441086,
0.03675,-0.0080551459,
0.037,0.0215295516,
0.03725,0.0052007688,
0.0375,-0.0357568897,
0.03775,0.0048922463,
0.038,0.0062766252,
0.03825,-0.0433601998,
0.0385,-0.0432650745,
0.03875,0.0157025624,
0.039,0.0002789952,
0.03925,0.0205995254,
0.0395,0.0297817066,
0.03975,0.0254230127,
0.04,-0.0004188417,
0.04025,0.0225090031,
0.0405,0.0029617506,
0.04075,0.0110136541,
0.041,0.0095060859,
0.04125,0.0248446278,
0.0415,0.0235565677,
0.04175,0.0214468688,
0.042,0.0208289828,
0.04225,0.0145679107,
0.0425,0.0181411076,
0.04275,0.0135892807,
0.043,0.0034115240,
0.04325,0.0301026814,
0.0435,0.0339279398,
0.04375,0.0412015468,
0.044,-0.0243685655,
0.04425,0.0321391895,
0.0445,0.0450016409,
0.04475,0.0119496556,
0.045,0.0479548648,
0.04525,0.0240445677,
0.0455,0.0148552004,
0.04575,0.0369823761,
0.046,0.0296792481,
0.04625,0.0047102510,
0.0465,0.0017024034,
0.04675,0.0226472579,
0.047,0.0139415972,
0.04725,0.0315081552,
0.0475,0.0421163216,
0.04775,0.0265176632,
0.048,0.0292280577,
0.04825,0.0224510282,
0.0485,0.0244167522,
0.04875,0.0359706692,
0.049,0.0061172410,
0.04925,0.0250154436,
0.0495,0.0328444839,
0.04975,0.0276746061,
0.05,0.0252607428,
0.05025,0.0412636064,
0.0505,0.0279312748,
0.05075,0.0221027732,
0.051,0.0027162838,
0.05125,0.0324627832,
0.0515,0.0068956697,
0.05175,0.0097553609,
0.052,0.0175234452,
0.05225,0.0181737207,
0.0525,0.0274312776,
0.05275,0.0246339310,
0.053,0.0173382610,
0.05325,0.0287630241,
0.0535,0.0166740958,
0.05375,0.0199527107,
0.054,0.0161017533,
0.05425,0.0328398347,
0.0545,0.0247203074,
0.05475,0.0196261108,
0.055,0.0193510931,
0.05525,0.0118388189,
0.0555,0.0340976603,
0.05575,0.0257198177,
0.056,0.0205743648,
0.05625,0.0205838606,
0.0565,0.0263021812,
0.05675,0.0126226908,
0.057,-0.0023899828,
0.05725,-0.0041831848,
0.0575,0.0157069396,
0.05775,-0.0029651516,
0.058,0.0114465766,
0.05825,0.0114631243,
0.0585,0.0070885750,
0.05875,0.0238423776,
0.059,-0.0009382550,
0.05925,0.0077267401,
0.0595,0.0213755202,
0.05975,0.0089924820,
0.06,-0.0109476000,
0.06025,0.0066524409,
0.0605,0.0038885919,
0.06075,-0.0133491401,
0.061,0.0070552346,
0.06125,-0.0005893151,
0.0615,-0.0155628771,
0.06175,-0.0418889187,
0.062,-0.0134741040,
0.06225,-0.0156722106,
0.0625,-0.0086389985,
0.06275,-0.0033248528,
0.063,0.0067838328,
0.06325,0.0031790840,
0.0635,0.0131714176,
0.06375,0.0041193380,
0.064,-0.0050817747,
0.06425,-0.0133308480,
0.0645,-0.0011736755,
0.06475,-0.0333397985,
0.065,-0.0036800131,
0.06525,-0.0275974888,
0.0655,-0.0336712338,
0.06575,-0.0422092006,
0.066,-0.0345250666,
0.06625,-0.0296258349,
0.0665,0.0152657731,
0.06675,-0.0103533408,
0.067,-0.0241315104,
0.06725,-0.0072958907,
0.0675,-0.0015167404,
0.06775,-0.0217967760,
0.068,-0.0189142935,
0.06825,-0.0101769846,
0.0685,-0.0101258568,
0.06875,-0.0217003934,
0.069,-0.0051165782,
0.06925,-0.0028346889,
0.0695,-0.0063655954,
0.06975,-0.0269778240,
0.07,-0.0311577730,
0.07025,-0.0129850209,
0.0705,-0.0271895193,
0.07075,-0.0273402985,
0.071,-0.0478902981,
0.07125,0.0017415530,
0.0715,-0.0265456550,
0.07175,-0.0042805467,
0.072,-0.0110222446,
0.07225,-0.0170515198,
0.0725,-0.0336415917,
0.07275,-0.0332890041,
0.073,-0.0270285718,
0.07325,-0.0051392172,
0.0735,-0.0307334624,
0.07375,-0.0149948047,
0.074,-0.0047078282,
0.07425,-0.0062024193,
0.0745,-0.0023231036,
0.07475,-0.0102546550,
0.075,-0.0207168628,
0.07525,-0.0007057152,
0.0755,-0.0419680625,
0.07575,-0.0561882034,
0.076,-0.0165184326,
0.07625,-0.0049752253,
0.0765,-0.0336235501,
0.07675,-0.0169527363,
0.077,0.0010368067,
0.07725,-0.0014402103,
0.0775,-0.0024548951,
0.07775,-0.0029580104,
0.078,0.0011466128,
0.07825,0.0096979225,
0.0785,0.0058078049,
0.07875,-0.0171563290,
0.079,-0.0154511984,
0.07925,-0.0004640783,
0.0795,-0.0180979259,
0.07975,-0.0050790012,
0.08,-0.0101453485,
0.08025,0.0002794482,
0.0805,-0.0133751314,
0.08075,-0.0067212386,
0.081,-0.0096796826,
0.08125,0.0039976118,
0.0815,-0.0115878051,
0.08175,0.0096341399,
0.082,-0.0009897156,
0.08225,0.0166111626,
0.0825,-0.0140178949,
0.08275,-0.0204909593,
0.083,-0.0154120531,
0.08325,0.0108415866,
0.0835,-0.0112574594,
0.08375,-0.0081885941,
0.084,0.0059788539,
0.08425,0.0150810629,
0.0845,-0.0064739268,
0.08475,0.0063760770,
0.085,0.0046140021,
0.08525,-0.0026612259,
0.0855,0.0106314681,
0.08575,-0.0255880170,
0.086,-0.0176276919,
0.08625,-0.0070486246,
0.0865,-0.0112746283,
0.08675,0.0076077320,
0.087,0.0116249472,
0.08725,-0.0134309735,
0.0875,-0.0015493775,
0.08775,0.0212009363,
0.088,0.0237937532,
0.08825,0.0169564392,
0.0885,-0.0299356952,
0.08875,-0.0049707475,
0.089,-0.0010042092,
0.08925,0.0169665441,
0.0895,-0.0399930626,
0.08975,0.0061982446,
0.09,-0.0089394143,
0.09025,-0.0144752171,
0.0905,-0.0096186129,
0.09075,0.0167005174,
0.091,-0.0063916938,
0.09125,0.0081130387,
0.0915,-0.0351296403,
0.09175,-0.0281907450,
0.092,-0.0159300379,
0.09225,0.0081828833,
0.0925,0.0184258576,
0.09275,0.0178776477,
0.093,0.0237472560,
0.09325,0.0192465093,
0.0935,0.0317044668,
0.09375,0.0279515274,
0.094,0.0309116766,
0.09425,0.0224831048,
0.0945,0.0112578943,
0.09475,0.0249092858,
0.095,0.0226942729,
0.09525,0.0252602175,
0.0955,-0.0734912008,
0.09575,0.0141396020,
0.096,0.0183004607,
0.09625,0.0272459202,
0.0965,0.0229731202,
0.09675,0.0014766236,
0.097,-0.0127567491,
0.09725,0.0247742273,
0.0975,-0.0061316751,
0.09775,0.0201914683,
0.098,0.0242073275,
0.09825,-0.0085787997,
0.0985,0.0233271755,
0.09875,-0.0010238400,
0.099,0.0324044526,
0.09925,-0.0187784415,
