Date,2020-11-28 09:29:33
Filename,STFMK-20201105-LW19-1943_20201128_092933_004.dat
Data Label,벨트느슨함
Label_No,04
Motor Spec,R-PAHU-04S, 1760,55, 105.3,
Period,3SEC
Sample Rate,4000
RMS,0.010599,
Data Length,12000,
0,0.0045157098,
0.00025,-0.0140006132,
0.0005,0.0027038970,
0.00075,0.0177197605,
0.001,-0.0117553528,
0.00125,0.0020735336,
0.0015,-0.0099814693,
0.00175,0.0023211914,
0.002,-0.0028715115,
0.00225,-0.0019394350,
0.0025,0.0055661402,
0.00275,0.0006936414,
0.003,0.0021532529,
0.00325,0.0140766855,
0.0035,0.0079101268,
0.00375,0.0022765060,
0.004,0.0018146283,
0.00425,0.0136356633,
0.0045,0.0035525602,
0.00475,-0.0010866807,
0.005,-0.0116185825,
0.00525,0.0026161624,
0.0055,-0.0049073258,
0.00575,0.0007076279,
0.006,0.0029563722,
0.00625,-0.0008753723,
0.0065,0.0012392038,
0.00675,-0.0130908787,
0.007,-0.0192768257,
0.00725,-0.0095634144,
0.0075,0.0000629381,
0.00775,0.0106201367,
0.008,0.0115619916,
0.00825,0.0017294134,
0.0085,0.0048979842,
0.00875,0.0114212222,
0.009,-0.0013626554,
0.00925,-0.0073090638,
0.0095,0.0019520118,
0.00975,0.0088592209,
0.01,-0.0029732934,
0.01025,-0.0062741614,
0.0105,0.0172370225,
0.01075,-0.0032082531,
0.011,-0.0077616787,
0.01125,-0.0140258744,
0.0115,-0.0014108123,
0.01175,0.0024766789,
0.012,-0.0074857306,
0.01225,0.0034685261,
0.0125,-0.0141757708,
0.01275,-0.0001261338,
0.013,0.0011747426,
0.01325,0.0054238541,
0.0135,0.0061099632,
0.01375,-0.0091659389,
0.014,0.0103390366,
0.01425,0.0143205766,
0.0145,-0.0019067217,
0.01475,0.0039615058,
0.015,-0.0120370071,
0.01525,-0.0011444911,
0.0155,-0.0084627876,
0.01575,-0.0096217571,
0.016,-0.0108653950,
0.01625,-0.0167625360,
0.0165,-0.0055277683,
0.01675,0.0060403394,
0.017,-0.0173647963,
0.01725,-0.0063280393,
0.0175,0.0087228343,
0.01775,0.0042335214,
0.018,0.0112309493,
0.01825,-0.0005619631,
0.0185,0.0150419660,
0.01875,0.0113455001,
0.019,-0.0146353161,
0.01925,0.0086955978,
0.0195,0.0034012021,
0.01975,0.0065938453,
0.02,-0.0081883455,
0.02025,0.0084513482,
0.0205,0.0183921438,
0.02075,-0.0090768887,
0.021,-0.0123951631,
0.02125,-0.0111480262,
0.0215,-0.0040591829,
0.02175,-0.0132754166,
0.022,-0.0013365215,
0.02225,-0.0009596886,
0.0225,0.0103644021,
0.02275,-0.0059712287,
0.023,0.0125970542,
0.02325,0.0080989664,
0.0235,-0.0016146764,
0.02375,0.0067901127,
0.024,0.0056028385,
0.02425,0.0128434962,
0.0245,-0.0072653778,
0.02475,-0.0177041478,
0.025,0.0103640240,
0.02525,-0.0123398928,
0.0255,-0.0015674642,
0.02575,-0.0042854310,
0.026,-0.0065920944,
0.02625,-0.0111391963,
0.0265,-0.0266597625,
0.02675,-0.0052439477,
0.027,0.0065806969,
