Date,2020-11-27 09:31:23
Filename,STFMK-20201105-LW19-1943_20201127_093123_004.dat
Data Label,정상
Label_No,00
Motor Spec,R-PAHU-04S, 1760,55, 105.3,
Period,3SEC
Sample Rate,4000
RMS,0.014438,
Data Length,12000,
0,-0.0054497439,
0.00025,0.0251261555,
0.0005,-0.0150170103,
0.00075,0.0139417239,
0.001,0.0152193364,
0.00125,-0.0084556295,
0.0015,-0.0011587883,
0.00175,0.0413523428,
0.002,-0.0244227145,
0.00225,0.0073965359,
0.0025,0.0150136463,
0.00275,-0.0154253924,
0.003,0.0022790409,
0.00325,0.0050202156,
0.0035,-0.0266341697,
0.00375,0.0146329822,
0.004,-0.0136072710,
0.00425,-0.0080498038,
0.0045,0.0159087628,
0.00475,-0.0062982095,
0.005,-0.0176625215,
0.00525,0.0332795866,
0.0055,-0.0088618295,
0.00575,-0.0059466679,
0.006,0.0045597674,
0.00625,-0.0034773725,
0.0065,0.0044356058,
0.00675,-0.0124792531,
0.007,-0.0063030650,
0.00725,0.0126184160,
0.0075,-0.0039143758,
0.00775,-0.0102340980,
0.008,0.0286125094,
0.00825,-0.0205380023,
0.0085,0.0024661683,
0.00875,0.0096573178,
0.009,-0.0088777877,
0.00925,-0.0123026501,
0.0095,-0.0154974647,
0.00975,-0.0087654833,
0.01,0.0032791416,
0.01025,-0.0041273371,
0.0105,-0.0223626904,
0.01075,0.0151478080,
0.011,-0.0035642777,
0.01125,-0.0347032584,
0.0115,0.0100399842,
0.01175,0.0060193948,
0.012,-0.0278451890,
0.01225,-0.0038440051,
0.0125,-0.0103556467,
0.01275,-0.0081698699,
0.013,0.0112951230,
0.01325,-0.0041659363,
0.0135,0.0056557492,
0.01375,0.0006995099,
0.014,0.0020501106,
0.01425,0.0030224593,
0.0145,-0.0171912685,
0.01475,0.0073265140,
0.015,-0.0074860780,
0.01525,0.0007481499,
0.0155,0.0026589457,
0.01575,-0.0218043290,
0.016,-0.0063037849,
0.01625,0.0084510688,
0.0165,-0.0144586153,
0.01675,-0.0125228502,
0.017,0.0034658746,
0.01725,0.0035464030,
0.0175,-0.0121126771,
0.01775,-0.0041839755,
0.018,0.0283680204,
0.01825,-0.0149590708,
0.0185,-0.0050643273,
0.01875,0.0370827131,
0.019,-0.0215538181,
0.01925,-0.0172188897,
0.0195,0.0051176497,
0.01975,-0.0155145675,
0.02,-0.0083355615,
0.02025,-0.0133427614,
0.0205,-0.0079997666,
0.02075,-0.0058678864,
0.021,-0.0148108276,
0.02125,-0.0130592734,
0.0215,0.0039886348,
0.02175,0.0003075506,
0.022,-0.0143700279,
0.02225,0.0016732725,
0.0225,0.0076985573,
0.02275,-0.0101939645,
0.023,-0.0122581702,
0.02325,0.0077486648,
0.0235,-0.0028215710,
0.02375,-0.0127251334,
0.024,0.0103089502,
0.02425,-0.0050704191,
0.0245,-0.0026488223,
0.02475,-0.0174642373,
0.025,0.0147444792,
0.02525,-0.0077813705,
0.0255,-0.0053387131,
0.02575,-0.0079420349,
0.026,-0.0023595502,
0.02625,0.0079098744,
0.0265,-0.0104057193,
0.02675,-0.0015976133,
0.027,0.0192337893,
0.02725,-0.0115963062,
0.0275,0.0070066582,
0.02775,0.0084678084,
0.028,0.0051960261,
0.02825,-0.0021952323,
0.0285,0.0033863490,
0.02875,-0.0139558958,
0.029,0.0179732572,
0.02925,-0.0506873056,
0.0295,-0.0069658463,
0.02975,0.0262023602,
0.03,-0.0344069749,
0.03025,-0.0036279755,
0.0305,0.0091255605,
0.03075,-0.0045405324,
0.031,-0.0216514636,
0.03125,0.0035547442,
0.0315,0.0101356292,
0.03175,-0.0079661841,
0.032,0.0003654379,
0.03225,-0.0029943227,
0.0325,0.0084121050,
0.03275,0.0028141078,
0.033,-0.0143670905,
0.03325,0.0090693133,
0.0335,-0.0021292358,
0.03375,-0.0050083636,
0.034,-0.0032252758,
0.03425,-0.0182293095,
0.0345,0.0128603084,
0.03475,-0.0056044110,
0.035,0.0184388570,
0.03525,0.0018085805,
0.0355,-0.0053968029,
0.03575,0.0111668324,
0.036,0.0052935253,
0.03625,-0.0020328527,
0.0365,0.0008809255,
0.03675,0.0026357721,
0.037,0.0017944282,
0.03725,-0.0263341237,
0.0375,0.0228209943,
0.03775,-0.0046445732,
0.038,-0.0172032584,
0.03825,0.0122792181,
0.0385,0.0109494654,
0.03875,-0.0166729689,
0.039,0.0004650383,
0.03925,-0.0048646200,
0.0395,-0.0077604791,
0.03975,0.0004508521,
0.04,0.0112835262,
0.04025,-0.0117570851,
0.0405,0.0145063587,
0.04075,-0.0066639548,
0.041,-0.0164212361,
0.04125,0.0174641833,
0.0415,0.0066566458,
0.04175,-0.0136256572,
0.042,0.0110684056,
0.04225,-0.0058592875,
0.0425,0.0024543596,
0.04275,-0.0130040385,
0.043,-0.0048837620,
0.04325,0.0127534419,
0.0435,-0.0079189986,
0.04375,-0.0010286212,
0.044,0.0098094335,
0.04425,0.0052748416,
0.0445,-0.0056419638,
0.04475,0.0007432322,
0.045,0.0005422894,
0.04525,0.0084319627,
0.0455,-0.0205393098,
0.04575,0.0073288898,
0.046,0.0095662400,
0.04625,-0.0109258341,
0.0465,0.0040870449,
0.04675,0.0086014522,
0.047,0.0126693724,
0.04725,-0.0200410001,
0.0475,0.0240454059,
0.04775,0.0195722915,
0.048,-0.0262382720,
0.04825,0.0200940520,
0.0485,0.0160319135,
0.04875,-0.0122989677,
0.049,-0.0135319503,
0.04925,0.0098125171,
0.0495,0.0133321816,
0.04975,-0.0066227773,
0.05,-0.0007790884,
0.05025,0.0066101248,
0.0505,-0.0147598162,
0.05075,0.0004086577,
0.051,-0.0041655237,
0.05125,-0.0063116564,
0.0515,0.0170922484,
0.05175,-0.0284267180,
0.052,0.0032407858,
0.05225,0.0167094395,
0.0525,-0.0045699910,
0.05275,-0.0010827074,
0.053,0.0215944108,
0.05325,-0.0026655404,
